ReturnKey;ReturnDate;OrderDate;SalesOrderNumber;CustomerKey;ProductKey;ReturnQuantity;UnitPrice;ReturnAmount
53;07/09/2013;29/08/2013;SO65199;621;570;2;445,410;890,820
54;10/09/2013;29/08/2013;SO65263;542;591;2;338,994;677,988
55;06/09/2013;29/08/2013;SO65278;308;569;2;445,410;890,820
56;09/10/2013;29/09/2013;SO67266;146;591;2;338,994;677,988
57;08/11/2013;29/10/2013;SO69408;236;476;2;41,994;83,988
58;16/11/2013;29/10/2013;SO69525;343;287;2;202,332;404,664
59;12/12/2013;29/11/2013;SO71880;542;363;2;1376,994;2753,988
60;16/02/2012;29/01/2012;SO47036;596;354;2;1242,852;2485,704
61;14/11/2012;28/10/2012;SO50206;236;356;2;1242,852;2485,704
62;20/04/2012;30/03/2012;SO47666;146;358;2;1229,459;2458,918
63;20/05/2012;30/04/2012;SO47986;236;358;2;1229,459;2458,918
64;16/11/2012;28/10/2012;SO50206;236;362;2;1229,459;2458,918
65;16/11/2012;28/10/2012;SO50206;236;391;2;88,932;177,864
66;14/05/2012;30/04/2012;SO47986;236;396;2;74,838;149,676
67;11/03/2013;28/02/2013;SO53576;542;525;2;158,430;316,860
68;11/10/2013;29/09/2013;SO67266;146;525;2;158,430;316,860
69;11/12/2013;29/11/2013;SO71785;272;527;2;158,430;316,860
70;18/12/2013;29/11/2013;SO71785;272;524;2;158,430;316,860
71;21/03/2013;28/02/2013;SO53576;542;551;2;158,430;316,860
72;09/12/2013;29/11/2013;SO71836;254;551;2;158,430;316,860
73;11/12/2013;29/11/2013;SO71886;109;532;2;149,874;299,748
74;20/03/2013;28/02/2013;SO53576;542;533;2;149,874;299,748
75;11/12/2013;29/11/2013;SO71785;272;531;2;149,874;299,748
76;19/12/2013;29/11/2013;SO71886;109;533;2;149,874;299,748
77;09/05/2013;30/04/2013;SO57026;361;603;2;72,894;145,788
78;17/11/2013;29/10/2013;SO69406;361;556;2;105,294;210,588
79;11/05/2013;30/04/2013;SO57026;361;561;2;1430,442;2860,884
80;15/03/2013;28/02/2013;SO53605;308;562;2;953,628;1907,256
81;06/11/2013;29/10/2013;SO69406;361;562;2;1430,442;2860,884
82;12/12/2013;29/11/2013;SO71835;621;562;2;1430,442;2860,884
83;10/10/2013;29/09/2013;SO67266;146;590;2;461,694;923,388
84;17/12/2013;29/11/2013;SO71886;109;588;2;461,694;923,388
85;19/11/2011;29/10/2011;SO46105;218;340;2;419,459;838,918
86;22/08/2011;01/08/2011;SO45296;145;215;2;20,187;40,373
87;18/02/2013;28/01/2013;SO51726;199;497;2;602,346;1204,692
88;18/01/2013;28/12/2012;SO51146;505;492;2;602,346;1204,692
89;13/11/2013;29/10/2013;SO69406;361;499;2;602,346;1204,692
90;06/02/2012;29/01/2012;SO47066;218;323;2;469,794;939,588
91;14/01/2013;28/12/2012;SO51146;505;496;2;602,346;1204,692
92;12/02/2012;29/01/2012;SO47066;218;370;2;1466,010;2932,020
93;17/02/2012;29/01/2012;SO47066;218;329;2;469,794;939,588
94;12/02/2012;29/01/2012;SO47066;218;325;2;469,794;939,588
95;19/08/2012;31/07/2012;SO49136;343;377;2;1308,938;2617,875
96;11/04/2013;30/03/2013;SO55286;253;434;2;356,898;713,796
97;13/11/2013;29/10/2013;SO69406;361;217;2;20,994;41,988
98;07/02/2011;29/01/2011;SO43866;289;218;2;5,700;11,400
99;11/03/2011;01/03/2011;SO44126;20;218;2;5,700;11,400
100;11/02/2012;29/01/2012;SO47066;218;435;2;324,453;648,905
101;08/05/2013;30/04/2013;SO57026;361;586;2;445,410;890,820
102;13/10/2012;28/09/2012;SO49826;146;221;2;20,187;40,373
103;21/03/2013;28/02/2013;SO53576;542;512;2;218,454;436,908
104;07/10/2013;29/09/2013;SO67266;146;512;2;218,454;436,908
105;07/12/2013;29/11/2013;SO71836;254;512;2;218,454;436,908
106;15/11/2013;29/10/2013;SO69406;361;572;2;445,410;890,820
107;19/10/2013;29/09/2013;SO67266;146;589;2;461,694;923,388
108;14/12/2013;29/11/2013;SO71886;109;589;2;461,694;923,388
109;14/12/2013;29/11/2013;SO71886;109;359;2;1376,994;2753,988
110;09/03/2013;28/02/2013;SO53576;542;599;2;323,994;647,988
111;06/12/2013;29/11/2013;SO71836;254;599;2;323,994;647,988
112;16/05/2013;30/04/2013;SO57136;433;234;2;29,994;59,988
113;15/03/2013;28/02/2013;SO53576;542;298;2;809,760;1619,520
114;16/10/2013;29/09/2013;SO67266;146;298;2;809,760;1619,520
115;15/08/2011;01/08/2011;SO45336;326;351;2;2024,994;4049,988
116;11/12/2013;29/11/2013;SO71836;254;306;2;809,760;1619,520
117;21/08/2011;01/08/2011;SO45296;145;344;2;2039,994;4079,988
118;17/03/2011;01/03/2011;SO44126;20;350;2;2024,994;4049,988
119;16/08/2011;01/08/2011;SO45336;326;350;2;2024,994;4049,988
120;18/08/2011;01/08/2011;SO45296;145;350;2;2024,994;4049,988
121;09/02/2012;29/01/2012;SO47066;218;439;2;780,818;1561,636
122;16/03/2011;01/03/2011;SO44126;20;345;2;2039,994;4079,988
123;06/02/2012;29/01/2012;SO47066;218;239;2;780,818;1561,636
124;07/02/2012;29/01/2012;SO47066;218;242;2;780,818;1561,636
125;08/01/2013;28/12/2012;SO51146;505;570;2;334,058;668,115
126;21/05/2012;30/04/2012;SO47986;236;364;2;647,994;1295,988
127;11/05/2013;30/04/2013;SO57026;361;564;2;1430,442;2860,884
128;07/11/2013;29/10/2013;SO69406;361;564;2;1430,442;2860,884
129;16/02/2012;29/01/2012;SO47066;218;263;2;202,332;404,664
130;09/01/2013;28/12/2012;SO51146;505;574;2;1430,442;2860,884
131;07/05/2013;30/04/2013;SO57026;361;560;2;728,910;1457,820
132;13/01/2013;28/12/2012;SO51146;505;573;2;1430,442;2860,884
133;14/08/2013;31/07/2013;SO63156;199;576;2;1430,442;2860,884
134;21/03/2013;28/02/2013;SO53576;542;357;2;1391,994;2783,988
135;06/11/2013;29/10/2013;SO69406;361;578;2;728,910;1457,820
136;09/11/2013;29/10/2013;SO69406;361;577;2;728,910;1457,820
137;16/05/2012;30/04/2012;SO47986;236;289;2;744,273;1488,545
138;18/05/2012;30/04/2012;SO47986;236;294;2;744,273;1488,545
139;11/11/2012;28/10/2012;SO50206;236;297;2;736,146;1472,291
140;11/08/2011;01/08/2011;SO45296;145;307;2;722,595;1445,190
141;14/08/2012;31/07/2012;SO49136;343;331;2;469,794;939,588
142;15/08/2012;31/07/2012;SO49136;343;337;2;469,794;939,588
143;09/03/2013;28/02/2013;SO53576;542;353;2;1391,994;2783,988
144;15/03/2013;28/02/2013;SO53576;542;596;2;323,994;647,988
145;20/12/2013;29/11/2013;SO71886;109;361;2;1376,994;2753,988
146;09/01/2013;28/12/2012;SO51146;505;565;2;334,058;668,115
147;12/03/2013;28/02/2013;SO53576;542;513;2;218,454;436,908
148;10/04/2012;30/03/2012;SO47666;146;427;2;209,256;418,512
149;16/05/2012;30/04/2012;SO47986;236;427;2;209,256;418,512
150;18/02/2012;29/01/2012;SO47066;218;381;2;600,263;1200,525
151;12/05/2012;30/04/2012;SO47986;236;394;2;20,520;41,040
152;14/03/2013;28/02/2013;SO53576;542;398;2;26,724;53,448
153;07/01/2012;29/12/2011;SO46646;325;399;2;33,775;67,549
154;19/10/2012;28/09/2012;SO49826;146;399;2;33,775;67,549
155;14/10/2013;29/09/2013;SO67266;146;402;2;72,162;144,324
156;08/02/2012;29/01/2012;SO47066;218;407;2;65,602;131,204
157;10/01/2012;29/12/2011;SO46646;325;410;2;36,447;72,894
158;17/11/2012;28/10/2012;SO50206;236;410;2;36,447;72,894
159;21/05/2013;30/04/2013;SO57026;361;514;2;63,900;127,800
160;09/11/2013;29/10/2013;SO69406;361;514;2;63,900;127,800
161;06/12/2013;29/11/2013;SO71836;254;555;2;63,900;127,800
162;06/01/2013;28/12/2012;SO51146;505;554;2;54,942;109,884
163;17/02/2013;28/01/2013;SO51726;199;554;2;54,942;109,884
164;16/03/2013;28/02/2013;SO53576;542;515;2;16,272;32,544
165;09/10/2013;29/09/2013;SO67266;146;515;2;16,272;32,544
166;07/11/2013;29/10/2013;SO69406;361;559;2;12,144;24,288
167;18/05/2013;30/04/2013;SO57026;361;552;2;54,894;109,788
168;06/12/2013;29/11/2013;SO71836;254;552;2;54,894;109,788
169;06/11/2012;28/10/2012;SO50206;236;447;2;15,000;30,000
170;17/11/2012;28/10/2012;SO50206;236;454;2;35,994;71,988
171;13/05/2012;30/04/2012;SO47986;236;459;2;53,994;107,988
172;10/08/2012;31/07/2012;SO49136;343;460;2;53,994;107,988
173;08/04/2013;30/03/2013;SO55286;253;547;2;48,594;97,188
174;14/12/2013;29/11/2013;SO71886;109;543;2;37,254;74,508
175;10/05/2012;30/04/2012;SO47986;236;464;2;14,129;28,258
176;11/01/2013;28/12/2012;SO51146;505;523;2;31,584;63,168
177;05/02/2013;28/01/2013;SO51726;199;523;2;31,584;63,168
178;12/05/2013;30/04/2013;SO57026;361;523;2;31,584;63,168
179;16/05/2013;30/04/2013;SO57026;361;465;2;14,694;29,388
180;16/11/2012;28/10/2012;SO50206;236;466;2;14,129;28,258
181;09/03/2013;28/02/2013;SO53576;542;542;2;24,294;48,588
182;19/12/2013;29/11/2013;SO71836;254;592;2;112,998;225,996
183;08/12/2013;29/11/2013;SO71886;109;591;2;112,998;225,996
184;05/01/2013;28/12/2012;SO51136;253;606;2;323,994;647,988
185;09/04/2013;30/03/2013;SO55286;253;606;2;323,994;647,988
186;14/07/2013;30/06/2013;SO61266;668;605;2;323,994;647,988
187;09/05/2013;30/04/2013;SO57026;361;487;2;32,994;65,988
188;20/05/2013;30/04/2013;SO57136;433;487;2;32,994;65,988
189;14/11/2013;29/10/2013;SO69406;361;488;2;32,394;64,788
190;17/03/2013;28/02/2013;SO53576;542;593;2;338,994;677,988
191;07/02/2013;28/01/2013;SO51726;199;495;2;602,346;1204,692
192;18/10/2013;29/09/2013;SO67266;146;544;2;48,594;97,188
193;17/04/2012;30/03/2012;SO47666;146;224;2;5,187;10,373
194;16/01/2012;29/12/2011;SO46646;325;468;2;22,794;45,588
195;16/10/2012;28/09/2012;SO49826;146;468;2;22,794;45,588
196;12/11/2012;28/10/2012;SO50216;2;468;2;22,794;45,588
197;14/07/2013;30/06/2013;SO61266;668;482;2;5,394;10,788
198;15/12/2013;29/11/2013;SO71836;254;225;2;5,394;10,788
199;08/07/2013;30/06/2013;SO61256;325;474;2;41,994;83,988
200;10/07/2013;30/06/2013;SO61256;325;475;2;41,994;83,988
201;08/12/2013;29/11/2013;SO71836;254;475;2;41,994;83,988
202;16/11/2012;28/10/2012;SO50216;2;233;2;28,840;57,681
203;20/04/2012;30/03/2012;SO47666;146;236;2;28,840;57,681
204;17/05/2012;30/04/2012;SO47986;236;236;2;28,840;57,681
205;16/10/2012;28/09/2012;SO49866;200;236;2;28,840;57,681
206;07/11/2012;28/10/2012;SO50206;236;236;2;28,840;57,681
207;12/08/2011;01/08/2011;SO45296;145;232;2;28,840;57,681
208;08/01/2011;29/12/2010;SO43677;679;215;2;20,187;40,373
209;17/02/2011;29/01/2011;SO43907;342;212;2;20,187;40,373
210;18/02/2011;29/01/2011;SO43916;348;215;2;20,187;40,373
211;15/03/2011;01/03/2011;SO44085;155;223;2;5,187;10,373
212;12/03/2011;01/03/2011;SO44090;417;220;2;20,187;40,373
213;19/03/2011;01/03/2011;SO44100;293;296;2;714,704;1429,409
214;14/03/2011;01/03/2011;SO44105;453;219;2;5,700;11,400
215;17/03/2011;01/03/2011;SO44111;460;235;2;28,840;57,681
216;16/03/2011;01/03/2011;SO44113;187;220;2;20,187;40,373
217;15/03/2011;01/03/2011;SO44127;608;232;2;28,840;57,681
218;21/04/2011;31/03/2011;SO44300;480;232;2;28,840;57,681
219;13/04/2011;31/03/2011;SO44305;676;296;2;714,704;1429,409
220;14/04/2011;31/03/2011;SO44316;431;223;2;5,187;10,373
221;20/05/2011;01/05/2011;SO44488;206;232;2;28,840;57,681
222;18/05/2011;01/05/2011;SO44517;527;235;2;28,840;57,681
223;15/06/2011;31/05/2011;SO44744;173;232;2;28,840;57,681
224;15/06/2011;31/05/2011;SO44774;588;223;2;5,187;10,373
225;07/06/2011;31/05/2011;SO44787;75;296;2;714,704;1429,409
226;14/08/2011;01/08/2011;SO45270;206;232;2;28,840;57,681
227;21/08/2011;01/08/2011;SO45308;623;304;2;714,704;1429,409
228;19/08/2011;01/08/2011;SO45330;63;218;2;5,700;11,400
229;13/09/2011;29/08/2011;SO45542;293;232;2;28,840;57,681
230;15/09/2011;29/08/2011;SO45555;366;223;2;5,187;10,373
231;06/09/2011;29/08/2011;SO45565;75;218;2;5,700;11,400
232;18/09/2011;29/08/2011;SO45571;608;293;2;722,595;1445,190
233;10/09/2011;29/08/2011;SO45576;279;220;2;20,187;40,373
234;16/10/2011;29/09/2011;SO45795;670;223;2;5,187;10,373
235;14/11/2011;29/10/2011;SO46028;206;235;2;28,840;57,681
236;09/11/2011;29/10/2011;SO46082;312;220;2;20,187;40,373
237;08/12/2011;29/11/2011;SO46341;93;223;2;5,187;10,373
238;07/12/2011;29/11/2011;SO46366;674;232;2;28,840;57,681
239;20/12/2011;29/11/2011;SO46374;75;235;2;28,840;57,681
240;19/12/2011;29/11/2011;SO46380;608;229;2;28,840;57,681
241;05/01/2012;29/12/2011;SO46605;622;213;2;16,822;33,644
242;07/01/2012;29/12/2011;SO46608;442;445;2;35,994;71,988
243;10/01/2012;29/12/2011;SO46630;530;468;2;22,794;45,588
244;19/01/2012;29/12/2011;SO46638;203;387;2;600,263;1200,525
245;11/01/2012;29/12/2011;SO46647;506;308;2;744,273;1488,545
246;19/01/2012;29/12/2011;SO46649;380;224;2;5,187;10,373
247;17/01/2012;29/12/2011;SO46666;234;447;2;15,000;30,000
248;15/01/2012;29/12/2011;SO46668;221;460;2;53,994;107,988
249;16/01/2012;29/12/2011;SO46671;523;439;2;780,818;1561,636
250;10/02/2012;29/01/2012;SO46966;43;308;2;744,273;1488,545
251;16/02/2012;29/01/2012;SO46972;650;394;2;20,520;41,040
252;05/02/2012;29/01/2012;SO46984;677;469;2;22,794;45,588
253;18/02/2012;29/01/2012;SO47012;66;457;2;44,994;89,988
254;08/02/2012;29/01/2012;SO47018;167;456;2;44,994;89,988
255;11/02/2012;29/01/2012;SO47018;167;387;2;600,263;1200,525
256;08/02/2012;29/01/2012;SO47034;257;459;2;53,994;107,988
257;05/02/2012;29/01/2012;SO47041;79;341;2;469,794;939,588
258;05/02/2012;29/01/2012;SO47065;546;297;2;736,146;1472,291
259;12/03/2012;29/02/2012;SO47352;149;233;2;28,840;57,681
260;10/03/2012;29/02/2012;SO47355;24;331;2;469,794;939,588
261;07/03/2012;29/02/2012;SO47374;23;456;2;44,994;89,988
262;10/03/2012;29/02/2012;SO47385;379;242;2;780,818;1561,636
263;21/03/2012;29/02/2012;SO47394;197;221;2;20,187;40,373
264;08/03/2012;29/02/2012;SO47398;461;387;2;600,263;1200,525
265;21/03/2012;29/02/2012;SO47415;262;456;2;44,994;89,988
266;07/03/2012;29/02/2012;SO47416;90;461;2;53,994;107,988
267;17/03/2012;29/02/2012;SO47435;75;468;2;22,794;45,588
268;10/04/2012;30/03/2012;SO47687;203;464;2;14,129;28,258
269;17/04/2012;30/03/2012;SO47715;292;456;2;44,994;89,988
270;20/04/2012;30/03/2012;SO47716;660;385;2;600,263;1200,525
271;20/05/2012;30/04/2012;SO48018;512;341;2;469,794;939,588
272;13/05/2012;30/04/2012;SO48066;385;448;2;11,994;23,988
273;16/05/2012;30/04/2012;SO48089;546;453;2;35,994;71,988
274;15/05/2012;30/04/2012;SO48090;135;224;2;5,187;10,373
275;13/06/2012;30/05/2012;SO48321;497;230;2;28,840;57,681
276;08/06/2012;30/05/2012;SO48339;461;236;2;28,840;57,681
277;16/06/2012;30/05/2012;SO48363;130;454;2;35,994;71,988
278;16/07/2012;30/06/2012;SO48735;670;216;2;20,187;40,373
279;07/08/2012;31/07/2012;SO49101;487;236;2;28,840;57,681
280;21/08/2012;31/07/2012;SO49104;97;385;2;600,263;1200,525
281;15/08/2012;31/07/2012;SO49116;527;387;2;600,263;1200,525
282;12/08/2012;31/07/2012;SO49127;436;460;2;53,994;107,988
283;07/09/2012;28/08/2012;SO49479;72;233;2;28,840;57,681
284;09/09/2012;28/08/2012;SO49496;461;369;2;1466,010;2932,020
285;18/09/2012;28/08/2012;SO49519;424;221;2;20,187;40,373
286;15/10/2012;28/09/2012;SO49828;514;466;2;14,129;28,258
287;07/10/2012;28/09/2012;SO49828;514;448;2;11,994;23,988
288;16/10/2012;28/09/2012;SO49831;475;445;2;35,994;71,988
289;13/10/2012;28/09/2012;SO49843;594;224;2;5,187;10,373
290;19/10/2012;28/09/2012;SO49855;442;297;2;736,146;1472,291
291;05/10/2012;28/09/2012;SO49870;660;236;2;28,840;57,681
292;06/11/2012;28/10/2012;SO50191;206;389;2;600,263;1200,525
293;18/11/2012;28/10/2012;SO50199;102;389;2;600,263;1200,525
294;12/11/2012;28/10/2012;SO50210;43;459;2;53,994;107,988
295;17/11/2012;28/10/2012;SO50226;78;385;2;600,263;1200,525
296;05/11/2012;28/10/2012;SO50230;62;460;2;53,994;107,988
297;08/11/2012;28/10/2012;SO50259;558;383;2;600,263;1200,525
298;07/11/2012;28/10/2012;SO50269;583;468;2;22,794;45,588
299;13/11/2012;28/10/2012;SO50272;97;233;2;28,840;57,681
300;17/11/2012;28/10/2012;SO50280;233;461;2;53,994;107,988
301;10/11/2012;28/10/2012;SO50294;312;213;2;20,187;40,373
302;18/12/2012;28/11/2012;SO50664;173;337;2;469,794;939,588
303;14/12/2012;28/11/2012;SO50672;239;445;2;35,994;71,988
304;11/12/2012;28/11/2012;SO50682;197;297;2;736,146;1472,291
305;18/12/2012;28/11/2012;SO50689;461;331;2;469,794;939,588
306;18/12/2012;28/11/2012;SO50720;490;360;2;1229,459;2458,918
307;07/12/2012;28/11/2012;SO50726;170;341;2;469,794;939,588
308;18/12/2012;28/11/2012;SO50738;130;453;2;35,994;71,988
309;11/01/2013;28/12/2012;SO51081;676;593;2;338,994;677,988
310;07/01/2013;28/12/2012;SO51088;125;298;2;809,760;1619,520
311;18/01/2013;28/12/2012;SO51102;437;475;2;41,994;83,988
312;11/01/2013;28/12/2012;SO51121;491;240;2;858,900;1717,800
313;15/01/2013;28/12/2012;SO51157;414;295;2;818,700;1637,400
314;15/01/2013;28/12/2012;SO51160;496;591;2;338,994;677,988
315;14/01/2013;28/12/2012;SO51160;496;467;2;14,694;29,388
316;17/02/2013;28/01/2013;SO51715;43;475;2;41,994;83,988
317;08/02/2013;28/01/2013;SO51716;363;575;2;1430,442;2860,884
318;15/02/2013;28/01/2013;SO51748;233;355;2;1391,994;2783,988
319;06/02/2013;28/01/2013;SO51784;558;243;2;858,900;1717,800
320;05/02/2013;28/01/2013;SO51795;77;231;2;29,994;59,988
321;05/02/2013;28/01/2013;SO51825;345;595;2;338,994;677,988
322;15/02/2013;28/01/2013;SO51827;131;576;2;1430,442;2860,884
323;17/02/2013;28/01/2013;SO51828;79;234;2;29,994;59,988
324;17/02/2013;28/01/2013;SO51833;385;309;2;818,700;1637,400
325;08/02/2013;28/01/2013;SO51842;257;376;2;1466,010;2932,020
326;12/02/2013;28/01/2013;SO51850;263;472;2;38,100;76,200
327;20/03/2013;28/02/2013;SO53454;149;592;2;338,994;677,988
328;18/03/2013;28/02/2013;SO53480;327;484;2;4,770;9,540
329;17/03/2013;28/02/2013;SO53509;156;471;2;38,100;76,200
330;10/03/2013;28/02/2013;SO53510;685;355;2;1391,994;2783,988
331;18/03/2013;28/02/2013;SO53536;118;593;2;338,994;677,988
332;17/03/2013;28/02/2013;SO53542;613;544;2;48,594;97,188
333;07/03/2013;28/02/2013;SO53550;649;605;2;323,994;647,988
334;19/03/2013;28/02/2013;SO53567;179;575;2;1430,442;2860,884
335;20/03/2013;28/02/2013;SO53583;75;593;2;338,994;677,988
336;19/03/2013;28/02/2013;SO53606;61;475;2;41,994;83,988
337;10/04/2013;30/03/2013;SO55253;530;231;2;29,994;59,988
338;12/04/2013;30/03/2013;SO55264;491;472;2;38,100;76,200
339;19/04/2013;30/03/2013;SO55277;506;475;2;41,994;83,988
340;08/04/2013;30/03/2013;SO55283;442;355;2;1391,994;2783,988
341;20/04/2013;30/03/2013;SO55297;496;490;2;32,394;64,788
342;09/04/2013;30/03/2013;SO55324;523;606;2;323,994;647,988
343;16/05/2013;30/04/2013;SO57027;441;491;2;32,394;64,788
344;13/05/2013;30/04/2013;SO57037;381;309;2;818,700;1637,400
345;08/05/2013;30/04/2013;SO57039;207;483;2;72,000;144,000
346;13/05/2013;30/04/2013;SO57076;684;583;2;1020,594;2041,188
347;15/05/2013;30/04/2013;SO57091;378;290;2;818,700;1637,400
348;15/05/2013;30/04/2013;SO57097;552;580;2;1020,594;2041,188
349;17/05/2013;30/04/2013;SO57126;45;376;2;1466,010;2932,020
350;17/05/2013;30/04/2013;SO57129;323;593;2;338,994;677,988
351;11/05/2013;30/04/2013;SO57141;666;240;2;858,900;1717,800
352;19/05/2013;30/04/2013;SO57157;257;580;2;1020,594;2041,188
353;20/06/2013;30/05/2013;SO58911;173;581;2;1020,594;2041,188
354;08/06/2013;30/05/2013;SO58918;678;487;2;32,994;65,988
355;18/06/2013;30/05/2013;SO58972;10;491;2;32,394;64,788
356;16/06/2013;30/05/2013;SO58995;624;376;2;1466,010;2932,020
357;11/06/2013;30/05/2013;SO59027;21;491;2;32,394;64,788
358;06/06/2013;30/05/2013;SO59029;648;544;2;48,594;97,188
359;12/06/2013;30/05/2013;SO59037;262;225;2;5,394;10,788
360;06/06/2013;30/05/2013;SO59074;54;440;2;858,900;1717,800
361;16/06/2013;30/05/2013;SO59075;179;488;2;32,394;64,788
362;18/07/2013;30/06/2013;SO61181;125;595;2;338,994;677,988
363;10/07/2013;30/06/2013;SO61210;523;487;2;32,994;65,988
364;09/07/2013;30/06/2013;SO61222;119;475;2;41,994;83,988
365;16/07/2013;30/06/2013;SO61224;618;483;2;72,000;144,000
366;15/07/2013;30/06/2013;SO61243;221;606;2;323,994;647,988
367;20/07/2013;30/06/2013;SO61243;221;472;2;38,100;76,200
368;11/07/2013;30/06/2013;SO61248;496;295;2;818,700;1637,400
369;15/08/2013;31/07/2013;SO63123;18;476;2;41,994;83,988
370;16/08/2013;31/07/2013;SO63136;552;581;2;1020,594;2041,188
371;14/08/2013;31/07/2013;SO63146;259;606;2;323,994;647,988
372;10/08/2013;31/07/2013;SO63240;131;573;2;1430,442;2860,884
373;08/08/2013;31/07/2013;SO63268;541;357;2;1391,994;2783,988
374;14/08/2013;31/07/2013;SO63280;435;476;2;41,994;83,988
375;18/09/2013;29/08/2013;SO65168;509;575;2;1430,442;2860,884
376;05/09/2013;29/08/2013;SO65232;490;298;2;809,760;1619,520
377;19/09/2013;29/08/2013;SO65236;54;477;2;2,994;5,988
378;17/09/2013;29/08/2013;SO65309;543;476;2;41,994;83,988
379;20/10/2013;29/09/2013;SO67262;622;605;2;323,994;647,988
380;15/10/2013;29/09/2013;SO67272;119;595;2;338,994;677,988
381;11/10/2013;29/09/2013;SO67274;437;475;2;41,994;83,988
382;16/11/2013;29/10/2013;SO69396;210;477;2;2,994;5,988
383;15/11/2013;29/10/2013;SO69400;101;481;2;5,394;10,788
384;06/11/2013;29/10/2013;SO69422;650;290;2;818,700;1637,400
385;14/11/2013;29/10/2013;SO69442;233;355;2;1391,994;2783,988
386;19/11/2013;29/10/2013;SO69479;552;481;2;5,394;10,788
387;15/11/2013;29/10/2013;SO69501;345;309;2;818,700;1637,400
388;17/11/2013;29/10/2013;SO69505;385;298;2;809,760;1619,520
389;11/11/2013;29/10/2013;SO69510;422;491;2;32,394;64,788
390;16/11/2013;29/10/2013;SO69536;435;544;2;48,594;97,188
