FinanceKey;Date;OrganizationKey;DepartmentGroupKey;AccountKey;Scenario;Amount
284;29/12/2010;5;6;78;Budget;188,18
285;29/12/2010;5;6;80;Budget;829,79
286;29/12/2010;5;6;81;Budget;518,37
287;29/12/2010;5;6;82;Budget;57,73
288;29/12/2010;5;6;83;Budget;151,58
289;29/12/2010;5;6;84;Budget;93,79
290;29/12/2010;5;6;85;Budget;139,27
291;29/12/2010;5;6;87;Budget;542,76
292;29/12/2010;5;6;89;Budget;79,66
293;29/12/2010;5;6;90;Budget;165,5
294;29/12/2010;5;6;91;Budget;-146,18
295;29/12/2010;5;6;92;Budget;302,28
296;29/12/2010;5;6;94;Budget;2982,18
297;29/12/2010;5;6;51;Budget;68464,8
298;29/12/2010;3;6;52;Budget;3159,33
299;29/12/2010;3;6;53;Budget;2583,75
300;29/12/2010;3;6;56;Budget;34679
301;29/12/2010;3;6;57;Budget;2810,21
302;29/12/2010;3;6;60;Budget;19630,96
303;29/12/2010;3;6;61;Budget;1402,12
304;29/12/2010;3;6;62;Budget;1139,76
305;29/12/2010;3;6;63;Budget;2133,14
306;29/12/2010;3;6;65;Budget;209,62
307;29/12/2010;3;6;66;Budget;139,78
308;29/12/2010;3;6;67;Budget;62,44
309;29/12/2010;3;6;68;Budget;110,6
310;29/12/2010;3;6;69;Budget;26,19
311;29/12/2010;3;6;71;Budget;38,41
312;29/12/2010;3;6;72;Budget;131,22
313;29/12/2010;3;6;73;Budget;92,17
314;29/12/2010;3;6;74;Budget;92,04
315;29/12/2010;3;6;76;Budget;351,71
316;29/12/2010;3;6;77;Budget;464,54
317;29/12/2010;3;6;78;Budget;102,01
318;29/12/2010;3;6;80;Budget;319,45
319;29/12/2010;3;6;81;Budget;258,78
320;29/12/2010;3;6;82;Budget;39,57
321;29/12/2010;3;6;83;Budget;152,93
322;29/12/2010;3;6;84;Budget;85,49
323;29/12/2010;3;6;85;Budget;90,56
324;29/12/2010;3;6;87;Budget;476,35
325;29/12/2010;3;6;89;Budget;110,83
326;29/12/2010;3;6;90;Budget;155,08
327;29/12/2010;3;6;91;Budget;-144,06
328;29/12/2010;3;6;92;Budget;395,98
329;29/12/2010;3;6;94;Budget;5289,7
330;29/12/2010;3;6;51;Budget;74861,67
331;29/12/2010;7;6;52;Budget;676,85
332;29/12/2010;7;6;53;Budget;1114,21
333;29/12/2010;7;6;56;Budget;28352,75
334;29/12/2010;7;6;57;Budget;3307,72
335;29/12/2010;7;6;60;Budget;26974,01
336;29/12/2010;7;6;61;Budget;3542,47
337;29/12/2010;7;6;62;Budget;3268,03
338;29/12/2010;7;6;63;Budget;2638,38
339;29/12/2010;7;6;65;Budget;573,83
340;29/12/2010;7;6;66;Budget;519,46
341;29/12/2010;7;6;67;Budget;311,01
342;29/12/2010;7;6;68;Budget;131,42
343;29/12/2010;7;6;69;Budget;38,5
344;29/12/2010;7;6;71;Budget;46,97
345;29/12/2010;7;6;72;Budget;106,3
346;29/12/2010;7;6;73;Budget;422,11
347;29/12/2010;7;6;74;Budget;236,95
348;29/12/2010;7;6;76;Budget;912,48
349;29/12/2010;7;6;77;Budget;835,69
350;29/12/2010;7;6;78;Budget;157,68
351;29/12/2010;7;6;80;Budget;573,21
352;29/12/2010;7;6;81;Budget;576,68
353;29/12/2010;7;6;82;Budget;53,32
354;29/12/2010;7;6;83;Budget;138,09
355;29/12/2010;7;6;84;Budget;131,41
356;29/12/2010;7;6;85;Budget;95,63
357;29/12/2010;7;6;87;Budget;488,96
358;29/12/2010;7;6;89;Budget;137,89
359;29/12/2010;7;6;90;Budget;176,31
360;29/12/2010;7;6;91;Budget;-75,9
361;29/12/2010;7;6;92;Budget;173,37
362;29/12/2010;7;6;94;Budget;9497,75
363;29/12/2010;7;6;51;Budget;50982,86
364;29/12/2010;8;6;52;Budget;3044,74
365;29/12/2010;8;6;53;Budget;2718,41
366;29/12/2010;8;6;56;Budget;72122,06
367;29/12/2010;8;6;57;Budget;8422,72
368;29/12/2010;8;6;60;Budget;33135,38
369;29/12/2010;8;6;61;Budget;3180,24
370;29/12/2010;8;6;62;Budget;1027,57
371;29/12/2010;8;6;63;Budget;11247,31
372;29/12/2010;8;6;65;Budget;233,45
373;29/12/2010;8;6;66;Budget;335,44
374;29/12/2010;8;6;67;Budget;91,9
375;29/12/2010;8;6;68;Budget;85,08
376;29/12/2010;8;6;69;Budget;31,17
377;29/12/2010;8;6;71;Budget;65,35
378;29/12/2010;8;6;72;Budget;324,49
379;29/12/2010;8;6;73;Budget;176,63
380;29/12/2010;8;6;74;Budget;197,96
381;29/12/2010;8;6;76;Budget;2151,72
382;29/12/2010;8;6;77;Budget;695,1
383;29/12/2010;8;6;78;Budget;161,74
384;29/12/2010;8;6;80;Budget;429,89
385;29/12/2010;8;6;81;Budget;473,35
386;29/12/2010;8;6;82;Budget;42,57
387;29/12/2010;8;6;83;Budget;92,59
388;29/12/2010;8;6;84;Budget;134,41
389;29/12/2010;8;6;85;Budget;138,04
390;29/12/2010;8;6;87;Budget;330,3
391;29/12/2010;8;6;89;Budget;98,11
392;29/12/2010;8;6;90;Budget;178,86
393;29/12/2010;8;6;91;Budget;-125,78
394;29/12/2010;8;6;92;Budget;246,14
395;29/12/2010;8;6;94;Budget;16179,53
396;29/12/2010;8;6;51;Budget;150217,53
397;29/12/2010;8;1;60;Budget;53943,18
398;29/12/2010;8;1;61;Budget;2593,34
399;29/12/2010;8;1;62;Budget;5795,47
400;29/12/2010;8;1;65;Budget;931,61
401;29/12/2010;8;1;66;Budget;949,87
402;29/12/2010;8;1;67;Budget;381,52
403;29/12/2010;8;1;68;Budget;348,26
404;29/12/2010;8;1;69;Budget;128,36
405;29/12/2010;8;1;71;Budget;75,54
406;29/12/2010;8;1;73;Budget;513,42
407;29/12/2010;8;1;74;Budget;440,42
408;29/12/2010;8;1;76;Budget;650,61
409;29/12/2010;8;1;77;Budget;1070,56
410;29/12/2010;8;1;78;Budget;374,02
411;29/12/2010;8;1;80;Budget;1569,46
412;29/12/2010;8;1;81;Budget;634,82
413;29/12/2010;8;1;82;Budget;52,49
414;29/12/2010;8;1;83;Budget;413,12
415;29/12/2010;8;1;84;Budget;191,99
416;29/12/2010;8;1;85;Budget;118,19
417;29/12/2010;8;1;87;Budget;706,84
418;29/12/2010;8;1;89;Budget;351,65
419;29/12/2010;8;1;90;Budget;219,99
420;29/12/2010;8;1;91;Budget;-209,17
421;29/12/2010;8;1;92;Budget;476,04
422;29/12/2010;8;1;94;Budget;325,11
423;29/12/2010;7;1;60;Budget;56573,1
424;29/12/2010;7;1;61;Budget;2611,42
425;29/12/2010;7;1;62;Budget;2242,92
426;29/12/2010;7;1;65;Budget;935,6
427;29/12/2010;7;1;66;Budget;802
428;29/12/2010;7;1;67;Budget;183,89
429;29/12/2010;7;1;68;Budget;347,55
430;29/12/2010;7;1;69;Budget;55,53
431;29/12/2010;7;1;71;Budget;70,6
432;29/12/2010;7;1;73;Budget;239,18
433;29/12/2010;7;1;74;Budget;146,16
434;29/12/2010;7;1;76;Budget;301,99
435;29/12/2010;7;1;77;Budget;913,82
436;29/12/2010;7;1;78;Budget;192,5
437;29/12/2010;7;1;80;Budget;750,97
438;29/12/2010;7;1;81;Budget;532,03
439;29/12/2010;7;1;82;Budget;61,94
440;29/12/2010;7;1;83;Budget;252,76
441;29/12/2010;7;1;84;Budget;87,32
442;29/12/2010;7;1;85;Budget;176,22
443;29/12/2010;7;1;87;Budget;1116,55
444;29/12/2010;7;1;89;Budget;205,64
445;29/12/2010;7;1;90;Budget;262,57
446;29/12/2010;7;1;91;Budget;-258,05
447;29/12/2010;7;1;92;Budget;300,14
448;29/12/2010;7;1;94;Budget;310,83
449;29/12/2010;5;1;60;Budget;38404,81
450;29/12/2010;5;1;61;Budget;2831,16
451;29/12/2010;5;1;62;Budget;1981,76
452;29/12/2010;5;1;65;Budget;323,05
453;29/12/2010;5;1;66;Budget;326,71
454;29/12/2010;5;1;67;Budget;266,39
455;29/12/2010;5;1;68;Budget;113,04
456;29/12/2010;5;1;69;Budget;66,33
457;29/12/2010;5;1;71;Budget;46,04
458;29/12/2010;5;1;73;Budget;172,19
459;29/12/2010;5;1;74;Budget;258,67
460;29/12/2010;5;1;76;Budget;494,61
461;29/12/2010;5;1;77;Budget;974,91
462;29/12/2010;5;1;78;Budget;211,48
463;29/12/2010;5;1;80;Budget;1004,65
464;29/12/2010;5;1;81;Budget;463,31
465;29/12/2010;5;1;82;Budget;62,46
466;29/12/2010;5;1;83;Budget;184,13
467;29/12/2010;5;1;84;Budget;154,1
468;29/12/2010;5;1;85;Budget;112,05
469;29/12/2010;5;1;87;Budget;549,85
470;29/12/2010;5;1;89;Budget;169,85
471;29/12/2010;5;1;90;Budget;182,77
472;29/12/2010;5;1;91;Budget;-176,88
473;29/12/2010;5;1;92;Budget;400,27
474;29/12/2010;5;1;94;Budget;292,36
475;29/12/2010;4;1;60;Budget;58124,01
476;29/12/2010;4;1;61;Budget;4565,99
477;29/12/2010;4;1;62;Budget;1991,85
478;29/12/2010;4;1;65;Budget;1017,08
479;29/12/2010;4;1;66;Budget;999,08
480;29/12/2010;4;1;67;Budget;215,22
481;29/12/2010;4;1;68;Budget;316,41
482;29/12/2010;4;1;69;Budget;44,52
483;29/12/2010;4;1;71;Budget;53,72
484;29/12/2010;4;1;73;Budget;625,04
485;29/12/2010;4;1;74;Budget;196,82
486;29/12/2010;4;1;76;Budget;439,5
487;29/12/2010;4;1;77;Budget;1243,35
488;29/12/2010;4;1;78;Budget;334,19
489;29/12/2010;4;1;80;Budget;625,98
490;29/12/2010;4;1;81;Budget;826,4
491;29/12/2010;4;1;82;Budget;85,33
492;29/12/2010;4;1;83;Budget;245,42
493;29/12/2010;4;1;84;Budget;178,47
494;29/12/2010;4;1;85;Budget;262,02
495;29/12/2010;4;1;87;Budget;733,42
496;29/12/2010;4;1;89;Budget;165,05
497;29/12/2010;4;1;90;Budget;228,3
498;29/12/2010;4;1;91;Budget;-156,68
499;29/12/2010;4;1;92;Budget;213,17
500;29/12/2010;4;1;94;Budget;107,67
501;29/12/2010;3;1;60;Budget;28280,24
502;29/12/2010;3;1;61;Budget;2601,51
503;29/12/2010;3;1;62;Budget;1089,72
504;29/12/2010;3;1;65;Budget;424,58
505;29/12/2010;3;1;66;Budget;187,33
506;29/12/2010;3;1;67;Budget;247,84
507;29/12/2010;3;1;68;Budget;171,81
508;29/12/2010;3;1;69;Budget;38,71
509;29/12/2010;3;1;71;Budget;48,43
510;29/12/2010;3;1;73;Budget;314,92
511;29/12/2010;3;1;74;Budget;163,96
512;29/12/2010;3;1;76;Budget;352,39
513;29/12/2010;3;1;77;Budget;598,28
514;29/12/2010;3;1;78;Budget;137,21
515;29/12/2010;3;1;80;Budget;589,19
516;29/12/2010;3;1;81;Budget;409,07
517;29/12/2010;3;1;82;Budget;34,72
518;29/12/2010;3;1;83;Budget;168,68
519;29/12/2010;3;1;84;Budget;60,88
520;29/12/2010;3;1;85;Budget;52,69
521;29/12/2010;3;1;87;Budget;466,12
522;29/12/2010;3;1;89;Budget;217,59
523;29/12/2010;3;1;90;Budget;191,79
524;29/12/2010;3;1;91;Budget;-225,19
525;29/12/2010;3;1;92;Budget;394,09
526;29/12/2010;3;1;94;Budget;251,43
527;29/12/2010;6;1;60;Budget;19955,05
528;29/12/2010;6;1;61;Budget;1578,79
529;29/12/2010;6;1;62;Budget;1057,32
530;29/12/2010;6;1;65;Budget;291,65
531;29/12/2010;6;1;66;Budget;155,94
532;29/12/2010;6;1;67;Budget;91,91
533;29/12/2010;6;1;68;Budget;60,53
534;29/12/2010;6;1;69;Budget;30,69
535;29/12/2010;6;1;71;Budget;33,02
536;29/12/2010;6;1;73;Budget;130,23
537;29/12/2010;6;1;74;Budget;123,3
538;29/12/2010;6;1;76;Budget;312,46
539;29/12/2010;6;1;77;Budget;590,43
540;29/12/2010;6;1;78;Budget;191,99
541;29/12/2010;6;1;80;Budget;408,15
542;29/12/2010;6;1;81;Budget;248,27
543;29/12/2010;6;1;82;Budget;31,22
544;29/12/2010;6;1;83;Budget;178,56
545;29/12/2010;6;1;84;Budget;78,91
546;29/12/2010;6;1;85;Budget;80,02
547;29/12/2010;6;1;87;Budget;489,11
548;29/12/2010;6;1;89;Budget;261,39
549;29/12/2010;6;1;90;Budget;223,55
550;29/12/2010;6;1;91;Budget;-314,65
551;29/12/2010;6;1;92;Budget;247,89
552;29/12/2010;6;1;94;Budget;111,53
553;29/12/2010;6;1;60;Actual;20800
554;29/12/2010;6;1;61;Actual;2080
555;29/12/2010;6;1;62;Actual;1040
556;29/12/2010;6;1;65;Actual;218
557;29/12/2010;6;1;66;Actual;198
558;29/12/2010;6;1;67;Actual;109
559;29/12/2010;6;1;68;Actual;78
560;29/12/2010;6;1;69;Actual;22
561;29/12/2010;6;1;71;Actual;31
562;29/12/2010;6;1;73;Actual;169
563;29/12/2010;6;1;74;Actual;105
564;29/12/2010;6;1;76;Actual;237
565;29/12/2010;6;1;77;Actual;426
566;29/12/2010;6;1;78;Actual;147
567;29/12/2010;6;1;80;Actual;584
568;29/12/2010;6;1;81;Actual;361
569;29/12/2010;6;1;82;Actual;38
570;29/12/2010;6;1;83;Actual;133
571;29/12/2010;6;1;84;Actual;118
572;29/12/2010;6;1;85;Actual;106
573;29/12/2010;6;1;87;Actual;468
574;29/12/2010;6;1;89;Actual;177
575;29/12/2010;6;1;90;Actual;273
576;29/12/2010;6;1;91;Actual;-218
577;29/12/2010;6;1;92;Actual;364
578;29/12/2010;6;1;94;Actual;82
579;29/12/2010;3;1;60;Actual;22080
580;29/12/2010;3;1;61;Actual;2208
581;29/12/2010;3;1;62;Actual;1546
582;29/12/2010;3;1;65;Actual;378
583;29/12/2010;3;1;66;Actual;344
584;29/12/2010;3;1;67;Actual;174
585;29/12/2010;3;1;68;Actual;132
586;29/12/2010;3;1;69;Actual;38
587;29/12/2010;3;1;71;Actual;54
588;29/12/2010;3;1;73;Actual;250
589;29/12/2010;3;1;74;Actual;114
590;29/12/2010;3;1;76;Actual;297
591;29/12/2010;3;1;77;Actual;535
592;29/12/2010;3;1;78;Actual;153
593;29/12/2010;3;1;80;Actual;586
594;29/12/2010;3;1;81;Actual;363
595;29/12/2010;3;1;82;Actual;35
596;29/12/2010;3;1;83;Actual;123
597;29/12/2010;3;1;84;Actual;103
598;29/12/2010;3;1;85;Actual;98
599;29/12/2010;3;1;87;Actual;540
600;29/12/2010;3;1;89;Actual;201
601;29/12/2010;3;1;90;Actual;309
602;29/12/2010;3;1;91;Actual;-247
603;29/12/2010;3;1;92;Actual;412
604;29/12/2010;3;1;94;Actual;214
605;29/12/2010;4;1;60;Actual;43120
606;29/12/2010;4;1;61;Actual;5174
607;29/12/2010;4;1;62;Actual;3449
608;29/12/2010;4;1;65;Actual;770
609;29/12/2010;4;1;66;Actual;700
610;29/12/2010;4;1;67;Actual;352
611;29/12/2010;4;1;68;Actual;264
612;29/12/2010;4;1;69;Actual;77
613;29/12/2010;4;1;71;Actual;99
614;29/12/2010;4;1;73;Actual;486
615;29/12/2010;4;1;74;Actual;240
616;29/12/2010;4;1;76;Actual;561
617;29/12/2010;4;1;77;Actual;1009
