SalesHeaderKey;SalesOrderNumber;OrderDate;DueDate;ShipDate;CustomerKey;RegionKey;DiscountAmount;TotalAmount;SalesAmount
8;SO47687;30/03/2012;11/04/2012;06/04/2012;203;4;1281,10;47238,65;45957,55
369;SO48016;30/04/2012;12/05/2012;07/05/2012;97;4;1358,00;44297,94;42939,94
542;SO48043;30/04/2012;12/05/2012;07/05/2012;167;4;2469,64;97455,67;94986,03
553;SO48056;30/04/2012;12/05/2012;07/05/2012;257;4;2101,68;59569,23;57467,55
27;SO48311;30/05/2012;11/06/2012;06/06/2012;239;4;2075,24;79074,69;76999,45
497;SO48378;30/05/2012;11/06/2012;06/06/2012;3;4;1545,76;42837,42;41291,66
526;SO48738;30/06/2012;12/07/2012;07/07/2012;41;4;137,88;3288,56;3150,68
161;SO48775;30/06/2012;12/07/2012;07/07/2012;203;4;1147,38;39579,48;38432,10
397;SO49104;31/07/2012;12/08/2012;07/08/2012;97;4;1644,12;44669,75;43025,63
263;SO49127;31/07/2012;12/08/2012;07/08/2012;436;4;1888,00;74205,01;72317,01
431;SO49523;28/08/2012;09/09/2012;04/09/2012;130;4;711,54;22612,41;21900,87
102;SO50226;28/10/2012;09/11/2012;04/11/2012;78;4;1782,10;56191,61;54409,51
198;SO46642;29/12/2011;10/01/2012;05/01/2012;4;4;2990,88;98013,19;95022,31
194;SO47422;29/02/2012;12/03/2012;07/03/2012;130;4;2043,18;62640,46;60597,28
411;SO47423;29/02/2012;12/03/2012;07/03/2012;165;4;127,32;4262,90;4135,58
596;SO47658;30/03/2012;11/04/2012;06/04/2012;4;4;3264,68;99514,50;96249,82
439;SO47715;30/03/2012;11/04/2012;06/04/2012;292;4;82,52;3784,62;3702,10
229;SO47720;30/03/2012;11/04/2012;06/04/2012;221;4;1549,20;43396,37;41847,17
469;SO48295;30/05/2012;11/06/2012;06/06/2012;24;4;2278,68;79722,99;77444,31
116;SO48363;30/05/2012;11/06/2012;06/06/2012;130;4;1895,36;51043,71;49148,35
156;SO48364;30/05/2012;11/06/2012;06/06/2012;165;4;122,48;3423,97;3301,49
606;SO48740;30/06/2012;12/07/2012;07/07/2012;4;4;2603,78;80857,13;78253,35
487;SO49109;31/07/2012;12/08/2012;07/08/2012;259;4;213,40;6577,12;6363,72
568;SO49486;28/08/2012;09/09/2012;04/09/2012;649;4;118,44;4228,15;4109,71
604;SO49534;28/08/2012;09/09/2012;04/09/2012;5;4;205,12;7046,91;6841,79
400;SO49890;28/09/2012;10/10/2012;05/10/2012;221;4;1154,22;43033,87;41879,65
145;SO50272;28/10/2012;09/11/2012;04/11/2012;97;4;1125,80;44893,21;43767,41
603;SO50296;28/10/2012;09/11/2012;04/11/2012;313;4;62,08;2818,76;2756,68
531;SO50736;28/11/2012;10/12/2012;05/12/2012;647;4;138,54;5835,66;5697,12
485;SO50739;28/11/2012;10/12/2012;05/12/2012;165;4;78,38;2458,61;2380,23
424;SO46663;29/12/2011;10/01/2012;05/01/2012;292;4;241,28;8818,63;8577,35
615;SO46970;29/01/2012;10/02/2012;05/02/2012;258;4;1730,80;50912,94;49182,14
215;SO47018;29/01/2012;10/02/2012;05/02/2012;167;4;3030,04;107991,01;104960,97
25;SO47056;29/01/2012;10/02/2012;05/02/2012;403;4;1576,04;54130,45;52554,41
172;SO47984;30/04/2012;12/05/2012;07/05/2012;259;4;115,10;5887,31;5772,21
371;SO49058;31/07/2012;12/08/2012;07/08/2012;78;4;1059,52;38334,65;37275,13
287;SO49086;31/07/2012;12/08/2012;07/08/2012;258;4;1146,48;42594,45;41447,97
652;SO49111;31/07/2012;12/08/2012;07/08/2012;77;4;146,64;4228,15;4081,51
686;SO49137;31/07/2012;12/08/2012;07/08/2012;313;4;64,56;2348,97;2284,41
637;SO49445;28/08/2012;09/09/2012;04/09/2012;277;4;75,18;2818,76;2743,58
327;SO50208;28/10/2012;09/11/2012;04/11/2012;328;4;2790,88;94673,14;91882,26
181;SO50313;28/10/2012;09/11/2012;04/11/2012;403;4;1599,78;53097,09;51497,31
120;SO46992;29/01/2012;10/02/2012;05/02/2012;97;4;1682,10;58519,48;56837,38
294;SO48048;30/04/2012;12/05/2012;07/05/2012;436;4;3318,80;95134,09;91815,29
635;SO48054;30/04/2012;12/05/2012;07/05/2012;313;4;85,74;2818,76;2733,02
420;SO49490;28/08/2012;09/09/2012;04/09/2012;24;4;1105,98;44311,82;43205,84
224;SO49838;28/09/2012;10/10/2012;05/10/2012;41;4;230,38;6016,65;5786,27
360;SO50205;28/10/2012;09/11/2012;04/11/2012;259;4;177,86;5255,31;5077,45
148;SO50252;28/10/2012;09/11/2012;04/11/2012;167;4;2961,84;95415,12;92453,28
507;SO50266;28/10/2012;09/11/2012;04/11/2012;77;4;216,82;5514,15;5297,33
499;SO50298;28/10/2012;09/11/2012;04/11/2012;257;4;1402,08;41637,59;40235,51
124;SO46668;29/12/2011;10/01/2012;05/01/2012;221;4;1538,26;59990,03;58451,77
48;SO46964;29/01/2012;10/02/2012;05/02/2012;328;4;2879,94;86764,16;83884,22
38;SO46988;29/01/2012;10/02/2012;05/02/2012;78;4;2178,82;80545,04;78366,22
306;SO47439;29/02/2012;12/03/2012;07/03/2012;3;4;2190,72;59309,56;57118,84
171;SO48012;30/04/2012;12/05/2012;07/05/2012;78;4;1834,26;51103,13;49268,87
463;SO48780;30/06/2012;12/07/2012;07/07/2012;166;4;1323,92;46606,38;45282,46
353;SO49074;31/07/2012;12/08/2012;07/08/2012;529;4;611,98;20078,26;19466,28
206;SO49076;31/07/2012;12/08/2012;07/08/2012;167;4;2563,38;79070,57;76507,19
237;SO49841;28/09/2012;10/10/2012;05/10/2012;203;4;1279,46;43579,46;42300,00
23;SO50748;28/11/2012;10/12/2012;05/12/2012;3;4;1253,78;39339,54;38085,76
510;SO55256;30/03/2013;11/04/2013;06/04/2013;331;4;1331,06;45633,21;44302,15
458;SO55276;30/03/2013;11/04/2013;06/04/2013;205;4;1885,32;74984,01;73098,69
50;SO55282;30/03/2013;11/04/2013;06/04/2013;599;4;7255,38;166854,42;159599,04
523;SO55298;30/03/2013;11/04/2013;06/04/2013;275;4;79,40;1946,02;1866,62
362;SO57131;30/04/2013;12/05/2013;07/05/2013;131;4;1028,82;30407,59;29378,77
87;SO58907;30/05/2013;11/06/2013;06/06/2013;582;4;773,76;28421,53;27647,77
418;SO58919;30/05/2013;11/06/2013;06/06/2013;420;4;1918,78;52674,92;50756,14
178;SO58979;30/05/2013;11/06/2013;06/06/2013;509;4;792,52;21423,32;20630,80
555;SO59041;30/05/2013;11/06/2013;06/06/2013;201;4;231,38;6784,30;6552,92
75;SO61184;30/06/2013;12/07/2013;07/07/2013;599;4;3181,30;94588,39;91407,09
209;SO61188;30/06/2013;12/07/2013;07/07/2013;331;4;1351,34;49123,69;47772,35
557;SO61200;30/06/2013;12/07/2013;07/07/2013;205;4;2578,00;71035,58;68457,58
344;SO63240;31/07/2013;12/08/2013;07/08/2013;131;4;670,44;25411,36;24740,92
60;SO65157;29/08/2013;10/09/2013;05/09/2013;582;4;630,50;22021,78;21391,28
35;SO65168;29/08/2013;10/09/2013;05/09/2013;509;4;603,90;20857,78;20253,88
668;SO65244;29/08/2013;10/09/2013;05/09/2013;295;4;262,68;11376,70;11114,02
307;SO67279;29/09/2013;11/10/2013;06/10/2013;331;4;1297,42;42195,89;40898,47
98;SO67298;29/09/2013;11/10/2013;06/10/2013;205;4;2964,74;102725,73;99760,99
244;SO69509;29/10/2013;10/11/2013;05/11/2013;131;4;639,20;29149,09;28509,89
151;SO71782;29/11/2013;11/12/2013;06/12/2013;582;4;852,74;33319,99;32467,25
368;SO71787;29/11/2013;11/12/2013;06/12/2013;509;4;696,98;28733,58;28036,60
364;SO71796;29/11/2013;11/12/2013;06/12/2013;420;4;1577,56;47848,03;46270,47
18;SO71848;29/11/2013;11/12/2013;06/12/2013;59;4;305,66;12563,68;12258,02
291;SO71858;29/11/2013;11/12/2013;06/12/2013;186;4;265,78;11528,84;11263,06
100;SO51102;28/12/2012;09/01/2013;04/01/2013;437;4;695,74;30410,74;29715,00
40;SO51121;28/12/2012;09/01/2013;04/01/2013;491;4;2593,14;79681,65;77088,51
231;SO51722;28/01/2013;09/02/2013;04/02/2013;258;4;1385,16;38335,39;36950,23
373;SO51745;28/01/2013;09/02/2013;04/02/2013;97;4;1678,16;73439,29;71761,13
69;SO51809;28/01/2013;09/02/2013;04/02/2013;309;4;1689,34;44063,00;42373,66
207;SO51836;28/01/2013;09/02/2013;04/02/2013;255;4;1004,50;37414,85;36410,35
428;SO51856;28/01/2013;09/02/2013;04/02/2013;435;4;1227,72;33634,68;32406,96
46;SO53460;28/02/2013;12/03/2013;07/03/2013;24;4;3477,82;107034,78;103556,96
249;SO53531;28/02/2013;12/03/2013;07/03/2013;187;4;1181,20;38783,56;37602,36
451;SO53538;28/02/2013;12/03/2013;07/03/2013;311;4;577,56;20607,78;20030,22
82;SO53546;28/02/2013;12/03/2013;07/03/2013;624;4;1260,74;33869,95;32609,21
340;SO53580;28/02/2013;12/03/2013;07/03/2013;648;4;1227,80;36443,85;35216,05
323;SO53583;28/02/2013;12/03/2013;07/03/2013;75;4;1558,26;51395,32;49837,06
274;SO53606;28/02/2013;12/03/2013;07/03/2013;61;4;1610,26;46742,78;45132,52
49;SO53616;28/02/2013;12/03/2013;07/03/2013;3;4;2266,52;69589,23;67322,71
26;SO53621;28/02/2013;12/03/2013;07/03/2013;490;4;3661,72;107106,21;103444,49
266;SO55251;30/03/2013;11/04/2013;06/04/2013;437;4;1289,92;41875,98;40586,06
382;SO57042;30/04/2013;12/05/2013;07/05/2013;258;4;806,24;39988,78;39182,54
34;SO57137;30/04/2013;12/05/2013;07/05/2013;309;4;859,24;33951,63;33092,39
92;SO57144;30/04/2013;12/05/2013;07/05/2013;312;4;1136,90;31339,79;30202,89
281;SO57145;30/04/2013;12/05/2013;07/05/2013;435;4;957,92;44595,30;43637,38
52;SO57157;30/04/2013;12/05/2013;07/05/2013;257;4;1219,28;30687,70;29468,42
196;SO57168;30/04/2013;12/05/2013;07/05/2013;436;4;1468,64;53901,92;52433,28
238;SO58909;30/05/2013;11/06/2013;06/06/2013;24;4;1111,70;74230,73;73119,03
21;SO59011;30/05/2013;11/06/2013;06/06/2013;3;4;654,34;33872,56;33218,22
77;SO59023;30/05/2013;11/06/2013;06/06/2013;61;4;1001,84;34704,36;33702,52
322;SO59027;30/05/2013;11/06/2013;06/06/2013;21;4;1314,42;39723,71;38409,29
492;SO61193;30/06/2013;12/07/2013;07/07/2013;4;4;2107,06;56182,35;54075,29
524;SO61211;30/06/2013;12/07/2013;07/07/2013;437;4;617,74;23457,15;22839,41
200;SO61227;30/06/2013;12/07/2013;07/07/2013;491;4;1471,24;57449,60;55978,36
101;SO63252;31/07/2013;12/08/2013;07/08/2013;309;4;1397,08;46031,08;44634,00
417;SO63261;31/07/2013;12/08/2013;07/08/2013;529;4;76,94;6708,78;6631,84
482;SO63262;31/07/2013;12/08/2013;07/08/2013;255;4;586,78;27709,22;27122,44
127;SO63283;31/07/2013;12/08/2013;07/08/2013;312;4;908,86;38586,38;37677,52
275;SO65183;29/08/2013;10/09/2013;05/09/2013;624;4;1547,42;36396,10;34848,68
614;SO65269;29/08/2013;10/09/2013;05/09/2013;648;4;1221,54;32995,99;31774,45
394;SO65303;29/08/2013;10/09/2013;05/09/2013;61;4;1689,82;58249,40;56559,58
36;SO67274;29/09/2013;11/10/2013;06/10/2013;437;4;509,10;22313,36;21804,26
449;SO69417;29/10/2013;10/11/2013;05/11/2013;258;4;995,30;33513,37;32518,07
33;SO69528;29/10/2013;10/11/2013;05/11/2013;309;4;910,58;34629,30;33718,72
78;SO69546;29/10/2013;10/11/2013;05/11/2013;493;4;189,06;8020,76;7831,70
10;SO71857;29/11/2013;11/12/2013;06/12/2013;624;4;862,24;28139,25;27277,01
232;SO71896;29/11/2013;11/12/2013;06/12/2013;648;4;1543,62;40429,66;38886,04
93;SO71902;29/11/2013;11/12/2013;06/12/2013;61;4;2591,76;60527,00;57935,24
73;SO44557;01/05/2011;13/05/2011;08/05/2011;255;4;853,74;28122,99;27269,25
76;SO44509;01/05/2011;13/05/2011;08/05/2011;328;4;1201,10;43615,42;42414,32
175;SO44299;31/03/2011;12/04/2011;07/04/2011;203;4;974,96;31624,75;30649,79
356;SO43680;29/12/2010;10/01/2011;05/01/2011;491;4;283,94;11397,50;11113,56
472;SO43689;29/12/2010;10/01/2011;05/01/2011;166;4;856,48;33997,37;33140,89
269;SO43872;29/01/2011;10/02/2011;05/02/2011;240;4;425,84;11584,46;11158,62
409;SO43692;29/12/2010;10/01/2011;05/01/2011;221;4;1293,10;38510,90;37217,80
301;SO44091;01/03/2011;13/03/2011;08/03/2011;545;4;197,34;4492,70;4295,36
329;SO44099;01/03/2011;13/03/2011;08/03/2011;473;4;79,24;12499,45;12420,21
346;SO44301;31/03/2011;12/04/2011;07/04/2011;491;4;826,78;29479,39;28652,61
355;SO44317;31/03/2011;12/04/2011;07/04/2011;221;4;977,48;33919,07;32941,60
370;SO44124;01/03/2011;13/03/2011;08/03/2011;3;4;597,14;15439,04;14841,90
374;SO44520;01/05/2011;13/05/2011;08/05/2011;78;4;1546,96;57700,23;56153,27
599;SO44314;31/03/2011;12/04/2011;07/04/2011;166;4;1236,46;42088,82;40852,36
58;SO44791;31/05/2011;12/06/2011;07/06/2011;3;4;576,02;14494,39;13918,37
535;SO45059;01/07/2011;13/07/2011;08/07/2011;491;4;848,22;31282,48;30434,26
63;SO45299;01/08/2011;13/08/2011;08/08/2011;240;4;369,24;20432,44;20063,20
142;SO45301;01/08/2011;13/08/2011;08/08/2011;78;4;824,28;26592,07;25767,79
375;SO45317;01/08/2011;13/08/2011;08/08/2011;167;4;1751,62;61206,48;59454,86
437;SO45339;01/08/2011;13/08/2011;08/08/2011;403;4;827,54;27763,80;26936,25
258;SO45536;29/08/2011;10/09/2011;05/09/2011;273;4;364,76;21442,98;21078,22
4;SO45568;29/08/2011;10/09/2011;05/09/2011;3;4;356,46;15251,82;14895,36
158;SO45798;29/09/2011;11/10/2011;06/10/2011;203;4;776,18;29494,05;28717,87
203;SO45799;29/09/2011;11/10/2011;06/10/2011;491;4;843,72;27579,31;26735,59
219;SO46049;29/10/2011;10/11/2011;05/11/2011;328;4;1682,54;55740,72;54058,18
189;SO46076;29/10/2011;10/11/2011;05/11/2011;167;4;2022,88;62344,00;60321,12
630;SO46093;29/10/2011;10/11/2011;05/11/2011;255;4;823,04;26009,32;25186,28
133;SO46338;29/11/2011;11/12/2011;06/12/2011;417;4;528,50;19044,61;18516,11
259;SO46341;29/11/2011;11/12/2011;06/12/2011;93;4;866,18;25670,36;24804,18
313;SO46355;29/11/2011;11/12/2011;06/12/2011;647;4;982,78;22996,49;22013,71
22;SO44090;01/03/2011;13/03/2011;08/03/2011;417;4;294,64;6654,70;6360,06
70;SO44756;31/05/2011;12/06/2011;07/06/2011;93;4;490,10;14008,61;13518,51
282;SO44093;01/03/2011;13/03/2011;08/03/2011;93;4;282,16;10680,73;10398,57
408;SO43892;29/01/2011;10/02/2011;05/02/2011;167;4;604,22;16544,55;15940,33
512;SO44754;31/05/2011;12/06/2011;07/06/2011;417;4;404,52;10830,15;10425,63
543;SO44564;01/05/2011;13/05/2011;08/05/2011;403;4;1267,86;34537,26;33269,40
201;SO45516;29/08/2011;10/09/2011;05/09/2011;647;4;837,04;19162,24;18325,20
334;SO45532;29/08/2011;10/09/2011;05/09/2011;417;4;278,44;6691,82;6413,38
318;SO46357;29/11/2011;11/12/2011;06/12/2011;365;4;280,80;8573,75;8292,95
143;SO44107;01/03/2011;13/03/2011;08/03/2011;647;4;369,04;16185,43;15816,39
475;SO43678;29/12/2010;10/01/2011;05/01/2011;203;4;189,28;9799,92;9610,64
488;SO44545;01/05/2011;13/05/2011;08/05/2011;256;4;241,30;9855,78;9614,48
653;SO44546;01/05/2011;13/05/2011;08/05/2011;313;4;7,82;1749,59;1741,77
680;SO44290;31/03/2011;12/04/2011;07/04/2011;383;4;93,48;3846,88;3753,40
692;SO44108;01/03/2011;13/03/2011;08/03/2011;365;4;64,78;2169,05;2104,27
170;SO45291;01/08/2011;13/08/2011;08/08/2011;328;4;1807,84;54553,84;52746,00
588;SO45325;01/08/2011;13/08/2011;08/08/2011;313;4;115,68;2588,51;2472,83
90;SO45535;29/08/2011;10/09/2011;05/09/2011;93;4;344,58;11256,83;10912,25
715;SO45788;29/09/2011;11/10/2011;06/10/2011;383;4;126,46;2169,05;2042,59
45;SO45810;29/09/2011;11/10/2011;06/10/2011;166;4;1054,94;31457,40;30402,46
509;SO45811;29/09/2011;11/10/2011;06/10/2011;292;4;156,32;3456,26;3299,94
264;SO46083;29/10/2011;10/11/2011;05/11/2011;256;4;453,10;12363,64;11910,54
3;SO44551;01/05/2011;13/05/2011;08/05/2011;385;4;364,48;41097,60;40733,12
157;SO44544;01/05/2011;13/05/2011;08/05/2011;312;4;400,10;20980,15;20580,05
241;SO44481;01/05/2011;13/05/2011;08/05/2011;492;4;646,78;26367,40;25720,62
253;SO44566;01/05/2011;13/05/2011;08/05/2011;40;4;1328,52;38308,86;36980,34
277;SO44556;01/05/2011;13/05/2011;08/05/2011;309;4;762,52;30593,88;29831,36
404;SO43913;29/01/2011;10/02/2011;05/02/2011;40;4;935,92;36724,10;35788,18
406;SO43897;29/01/2011;10/02/2011;05/02/2011;312;4;1616,34;51235,01;49618,67
517;SO44505;01/05/2011;13/05/2011;08/05/2011;384;4;1627,48;34978,06;33350,58
554;SO43864;29/01/2011;10/02/2011;05/02/2011;384;4;997,76;38474,36;37476,60
106;SO44783;31/05/2011;12/06/2011;07/06/2011;648;4;809,20;29614,21;28805,01
395;SO45341;01/08/2011;13/08/2011;08/08/2011;40;4;1294,44;34740,28;33445,84
416;SO45571;29/08/2011;10/09/2011;05/09/2011;608;4;2799,62;78882,93;76083,31
56;SO44115;01/03/2011;13/03/2011;08/03/2011;366;4;1238,58;66848,39;65609,81
126;SO44120;01/03/2011;13/03/2011;08/03/2011;75;4;648,12;26967,13;26319,01
141;SO44119;01/03/2011;13/03/2011;08/03/2011;648;4;1740,50;49096,11;47355,61
239;SO43906;29/01/2011;10/02/2011;05/02/2011;309;4;1191,84;32983,67;31791,83
285;SO43901;29/01/2011;10/02/2011;05/02/2011;385;4;414,16;22717,60;22303,44
150;SO44776;31/05/2011;12/06/2011;07/06/2011;187;4;1370,86;47370,77;45999,91
12;SO45290;01/08/2011;13/08/2011;08/08/2011;384;4;1017,70;33469,90;32452,20
336;SO45311;01/08/2011;13/08/2011;08/08/2011;492;4;764,76;18296,35;17531,59
107;SO45334;01/08/2011;13/08/2011;08/08/2011;309;4;1502,00;51137,41;49635,41
280;SO45534;29/08/2011;10/09/2011;05/09/2011;581;4;1256,30;37592,06;36335,76
2;SO45554;29/08/2011;10/09/2011;05/09/2011;187;4;427,42;25517,42;25090,00
162;SO45555;29/08/2011;10/09/2011;05/09/2011;366;4;1940,04;65725,92;63785,88
135;SO45565;29/08/2011;10/09/2011;05/09/2011;75;4;1210,56;34558,16;33347,60
252;SO46082;29/10/2011;10/11/2011;05/11/2011;312;4;1642,06;46519,14;44877,08
19;SO51154;28/12/2012;09/01/2013;04/01/2013;221;4;2010,54;54531,63;52521,09
125;SO51714;28/01/2013;09/02/2013;04/02/2013;328;4;2120,04;78790,81;76670,77
185;SO51773;28/01/2013;09/02/2013;04/02/2013;167;4;1075,76;35830,44;34754,68
235;SO51842;28/01/2013;09/02/2013;04/02/2013;257;4;1521,48;44630,46;43108,98
379;SO55233;30/03/2013;11/04/2013;06/04/2013;4;4;1653,82;61119,64;59465,82
43;SO55264;30/03/2013;11/04/2013;06/04/2013;491;4;2020,30;63986,80;61966,50
490;SO55303;30/03/2013;11/04/2013;06/04/2013;166;4;2139,16;63020,86;60881,71
261;SO55322;30/03/2013;11/04/2013;06/04/2013;221;4;757,44;28007,63;27250,19
457;SO57062;30/04/2013;12/05/2013;07/05/2013;97;4;2189,16;62739,67;60550,51
448;SO57134;30/04/2013;12/05/2013;07/05/2013;255;4;1083,70;32632,90;31549,20
661;SO57139;30/04/2013;12/05/2013;07/05/2013;529;4;137,28;5927,95;5790,67
534;SO57153;30/04/2013;12/05/2013;07/05/2013;493;4;162,84;6236,76;6073,92
103;SO58982;30/05/2013;11/06/2013;06/06/2013;311;4;566,64;21305,65;20739,01
443;SO58995;30/05/2013;11/06/2013;06/06/2013;624;4;1225,18;35834,14;34608,96
53;SO61243;30/06/2013;12/07/2013;07/07/2013;221;4;367,40;14608,22;14240,82
335;SO61264;30/06/2013;12/07/2013;07/07/2013;166;4;782,88;25065,10;24282,22
330;SO63155;31/07/2013;12/08/2013;07/08/2013;258;4;946,20;35670,74;34724,54
271;SO63180;31/07/2013;12/08/2013;07/08/2013;167;4;769,80;21534,17;20764,37
88;SO63213;31/07/2013;12/08/2013;07/08/2013;97;4;1310,30;60119,02;58808,72
525;SO63263;31/07/2013;12/08/2013;07/08/2013;257;4;398,62;21524,14;21125,52
354;SO63277;31/07/2013;12/08/2013;07/08/2013;493;4;332,40;7678,92;7346,52
236;SO63285;31/07/2013;12/08/2013;07/08/2013;436;4;1286,96;47450,61;46163,65
197;SO65160;29/08/2013;10/09/2013;05/09/2013;24;4;1168,20;53785,72;52617,52
268;SO65167;29/08/2013;10/09/2013;05/09/2013;311;4;566,90;19300,93;18734,03
220;SO65310;29/08/2013;10/09/2013;05/09/2013;3;4;443,28;13084,21;12640,93
311;SO67292;29/09/2013;11/10/2013;06/10/2013;4;4;1310,76;52033,16;50722,40
199;SO67325;29/09/2013;11/10/2013;06/10/2013;221;4;1369,68;34321,89;32952,21
190;SO69412;29/10/2013;10/11/2013;05/11/2013;328;4;1507,94;61154,91;59646,97
367;SO69466;29/10/2013;10/11/2013;05/11/2013;167;4;846,92;32062,03;31215,11
195;SO69515;29/10/2013;10/11/2013;05/11/2013;255;4;1004,42;35131,28;34126,86
160;SO69539;29/10/2013;10/11/2013;05/11/2013;529;4;339,84;7564,16;7224,32
279;SO71849;29/11/2013;11/12/2013;06/12/2013;311;4;568,52;19322,03;18753,51
245;SO71889;29/11/2013;11/12/2013;06/12/2013;3;4;972,00;26676,70;25704,70
57;SO44127;01/03/2011;13/03/2011;08/03/2011;608;4;3005,68;91014,79;88009,11
136;SO44113;01/03/2011;13/03/2011;08/03/2011;187;4;909,70;40510,30;39600,60
302;SO44757;31/05/2011;12/06/2011;07/06/2011;581;4;1077,94;37591,65;36513,71
638;SO44095;01/03/2011;13/03/2011;08/03/2011;581;4;1302,46;42341,08;41038,62
79;SO44777;31/05/2011;12/06/2011;07/06/2011;366;4;3376,66;99502,03;96125,37
47;SO44787;31/05/2011;12/06/2011;07/06/2011;75;4;1260,40;46173,72;44913,32
506;SO44795;31/05/2011;12/06/2011;07/06/2011;608;4;2910,74;104588,71;101677,97
504;SO45321;01/08/2011;13/08/2011;08/08/2011;312;4;1767,18;61194,04;59426,86
520;SO45560;29/08/2011;10/09/2011;05/09/2011;648;4;1762,48;56967,13;55204,65
433;SO46089;29/10/2011;10/11/2011;05/11/2011;385;4;1893,26;73568,30;71675,04
278;SO46094;29/10/2011;10/11/2011;05/11/2011;309;4;2592,90;74719,78;72126,88
115;SO51833;28/01/2013;09/02/2013;04/02/2013;385;4;1038,30;30591,57;29553,27
299;SO51845;28/01/2013;09/02/2013;04/02/2013;312;4;991,36;46469,20;45477,84
108;SO59013;30/05/2013;11/06/2013;06/06/2013;75;4;678,46;30541,15;29862,69
91;SO63251;31/07/2013;12/08/2013;07/08/2013;345;4;587,08;24667,06;24079,98
61;SO71845;29/11/2013;11/12/2013;06/12/2013;187;4;686,60;34208,93;33522,33
153;SO71881;29/11/2013;11/12/2013;06/12/2013;21;4;1346,18;36822,03;35475,85
179;SO61218;30/06/2013;12/07/2013;07/07/2013;475;4;1199,16;41798,52;40599,36
154;SO51825;28/01/2013;09/02/2013;04/02/2013;345;4;1202,12;55934,06;54731,94
358;SO58975;30/05/2013;11/06/2013;06/06/2013;187;4;690,34;33623,78;32933,44
419;SO63280;31/07/2013;12/08/2013;07/08/2013;435;4;572,92;24142,51;23569,59
549;SO65180;29/08/2013;10/09/2013;05/09/2013;23;4;49,08;8765,89;8716,81
415;SO65306;29/08/2013;10/09/2013;05/09/2013;75;4;494,14;22138,85;21644,71
140;SO69532;29/10/2013;10/11/2013;05/11/2013;312;4;1715,48;54337,53;52622,05
372;SO51099;28/12/2012;09/01/2013;04/01/2013;95;4;167,14;5208,65;5041,51
545;SO51106;28/12/2012;09/01/2013;04/01/2013;331;4;1890,72;53953,38;52062,66
486;SO51139;28/12/2012;09/01/2013;04/01/2013;275;4;271,74;8109,25;7837,51
104;SO53533;28/02/2013;12/03/2013;07/03/2013;509;4;887,94;26140,22;25252,28
436;SO53599;28/02/2013;12/03/2013;07/03/2013;201;4;75,58;1667,94;1592,36
560;SO58984;30/05/2013;11/06/2013;06/06/2013;186;4;525,86;18959,59;18433,73
363;SO65176;29/08/2013;10/09/2013;05/09/2013;420;4;646,46;25622,29;24975,83
168;SO51131;28/12/2012;09/01/2013;04/01/2013;599;4;5133,98;175753,21;170619,23
446;SO51827;28/01/2013;09/02/2013;04/02/2013;131;4;635,14;24143,49;23508,35
227;SO53470;28/02/2013;12/03/2013;07/03/2013;420;4;1247,72;60716,68;59468,96
725;SO61255;30/06/2013;12/07/2013;07/07/2013;241;4;179,92;8610,03;8430,11
183;SO49821;28/09/2012;10/10/2012;05/10/2012;4;4;1723,88;78175,05;76451,17
