SalesDetailsKey;SalesHeaderKey;SalesOrderNumber;ProductKey;ProductSubcategoryKey;OrderQuantity;UnitPrice;ExtendedAmount
23247;3100;SO49156;343;17;2;469,794;939,588
23381;3504;SO49165;343;17;2;469,794;939,588
23938;420;SO49490;343;17;2;469,794;939,588
23987;1941;SO49493;343;17;2;469,794;939,588
24044;843;SO49496;343;17;2;469,794;939,588
24176;2506;SO49502;343;17;2;469,794;939,588
24358;1410;SO49517;343;17;2;469,794;939,588
24375;2974;SO49518;343;17;2;469,794;939,588
24577;430;SO49538;343;17;2;469,794;939,588
25130;224;SO49838;343;17;2;469,794;939,588
25388;1884;SO49852;343;17;2;469,794;939,588
25523;3503;SO49862;343;17;2;469,794;939,588
25726;3247;SO49876;343;17;2;469,794;939,588
25973;400;SO49890;343;17;2;469,794;939,588
26174;2289;SO50191;343;17;2;469,794;939,588
26257;2766;SO50201;343;17;2;469,794;939,588
26351;360;SO50205;343;17;2;469,794;939,588
27005;2978;SO50235;343;17;2;469,794;939,588
27318;148;SO50252;343;17;2;469,794;939,588
27491;507;SO50266;343;17;2;469,794;939,588
27566;145;SO50272;343;17;2;469,794;939,588
27920;603;SO50296;343;17;2;469,794;939,588
27992;499;SO50298;343;17;2;469,794;939,588
28272;181;SO50313;343;17;2;469,794;939,588
28319;1578;SO50314;343;17;2;469,794;939,588
28834;1000;SO50677;343;17;2;469,794;939,588
29638;2178;SO50726;343;17;2;469,794;939,588
8719;913;SO46614;339;17;2;469,794;939,588
9562;3173;SO46652;339;17;2;469,794;939,588
9563;3173;SO46652;335;17;2;469,794;939,588
9869;2985;SO46666;339;17;2;469,794;939,588
9932;124;SO46668;335;17;2;469,794;939,588
10514;2856;SO46948;339;17;2;469,794;939,588
10797;48;SO46964;339;17;2;469,794;939,588
11007;615;SO46970;339;17;2;469,794;939,588
11008;615;SO46970;335;17;2;469,794;939,588
11411;38;SO46988;339;17;2;469,794;939,588
11644;2276;SO46996;335;17;2;469,794;939,588
11667;1311;SO46997;335;17;2;469,794;939,588
11719;2907;SO47001;335;17;2;469,794;939,588
11879;857;SO47008;339;17;2;469,794;939,588
11996;1076;SO47012;335;17;2;469,794;939,588
12853;1873;SO47054;335;17;2;469,794;939,588
13241;912;SO47354;335;17;2;469,794;939,588
13513;997;SO47366;335;17;2;469,794;939,588
13575;1810;SO47367;339;17;2;469,794;939,588
13741;3236;SO47377;335;17;2;469,794;939,588
14863;306;SO47439;335;17;2;469,794;939,588
15964;8;SO47687;339;17;2;469,794;939,588
16388;2509;SO47716;335;17;2;469,794;939,588
16965;2867;SO47975;335;17;2;469,794;939,588
17145;797;SO47988;339;17;2;469,794;939,588
17509;2675;SO48004;335;17;2;469,794;939,588
17668;171;SO48012;335;17;2;469,794;939,588
17806;2132;SO48018;339;17;2;469,794;939,588
17828;2132;SO48018;335;17;2;469,794;939,588
17883;1288;SO48023;339;17;2;469,794;939,588
17921;2891;SO48026;339;17;2;469,794;939,588
18137;991;SO48036;335;17;2;469,794;939,588
18218;542;SO48043;339;17;2;469,794;939,588
18366;2890;SO48050;335;17;2;469,794;939,588
18469;553;SO48056;335;17;2;469,794;939,588
18502;1529;SO48057;335;17;2;469,794;939,588
19365;847;SO48307;335;17;2;469,794;939,588
19531;3194;SO48317;335;17;2;469,794;939,588
19642;2452;SO48325;335;17;2;469,794;939,588
19867;825;SO48339;339;17;2;469,794;939,588
20926;606;SO48740;339;17;2;469,794;939,588
21094;3013;SO48751;339;17;2;469,794;939,588
21336;764;SO48764;339;17;2;469,794;939,588
21367;1995;SO48766;335;17;2;469,794;939,588
21439;99;SO48769;335;17;2;469,794;939,588
21440;99;SO48769;339;17;2;469,794;939,588
21494;3422;SO48771;339;17;2;469,794;939,588
21645;463;SO48780;339;17;2;469,794;939,588
21686;2464;SO48786;339;17;2;469,794;939,588
21725;2862;SO48788;339;17;2;469,794;939,588
21771;2660;SO48791;335;17;2;469,794;939,588
22052;3491;SO49065;335;17;2;469,794;939,588
22076;838;SO49066;339;17;2;469,794;939,588
22156;353;SO49074;335;17;2;469,794;939,588
22173;206;SO49076;335;17;2;469,794;939,588
22301;2327;SO49090;339;17;2;469,794;939,588
22302;2327;SO49090;335;17;2;469,794;939,588
22328;2115;SO49091;339;17;2;469,794;939,588
22330;2115;SO49091;335;17;2;469,794;939,588
22409;817;SO49094;339;17;2;469,794;939,588
22410;817;SO49094;335;17;2;469,794;939,588
22707;2656;SO49116;335;17;2;469,794;939,588
23306;2267;SO49159;339;17;2;469,794;939,588
23579;2594;SO49465;335;17;2;469,794;939,588
23684;3066;SO49476;339;17;2;469,794;939,588
23741;840;SO49480;339;17;2;469,794;939,588
23939;420;SO49490;335;17;2;469,794;939,588
24045;843;SO49496;335;17;2;469,794;939,588
24046;843;SO49496;339;17;2;469,794;939,588
24214;3313;SO49504;335;17;2;469,794;939,588
24377;2974;SO49518;335;17;2;469,794;939,588
24455;431;SO49523;335;17;2;469,794;939,588
24833;762;SO49827;335;17;2;469,794;939,588
24834;762;SO49827;339;17;2;469,794;939,588
25101;2679;SO49837;335;17;2;469,794;939,588
25152;237;SO49841;339;17;2;469,794;939,588
25533;2999;SO49864;335;17;2;469,794;939,588
26029;3391;SO49891;335;17;2;469,794;939,588
26077;2511;SO49893;339;17;2;469,794;939,588
26175;2289;SO50191;339;17;2;469,794;939,588
26245;1296;SO50199;335;17;2;469,794;939,588
26733;3206;SO50222;339;17;2;469,794;939,588
26971;871;SO50232;335;17;2;469,794;939,588
27006;2978;SO50235;335;17;2;469,794;939,588
27128;1141;SO50242;335;17;2;469,794;939,588
27171;3412;SO50244;339;17;2;469,794;939,588
27224;877;SO50245;339;17;2;469,794;939,588
27375;2909;SO50259;335;17;2;469,794;939,588
27468;924;SO50265;339;17;2;469,794;939,588
27469;924;SO50265;335;17;2;469,794;939,588
27567;145;SO50272;339;17;2;469,794;939,588
27749;65;SO50289;335;17;2;469,794;939,588
27800;3090;SO50290;335;17;2;469,794;939,588
28375;1720;SO50321;335;17;2;469,794;939,588
28665;1831;SO50671;335;17;2;469,794;939,588
28741;3291;SO50673;339;17;2;469,794;939,588
29229;2584;SO50696;335;17;2;469,794;939,588
29587;3405;SO50722;335;17;2;469,794;939,588
29644;2178;SO50726;339;17;2;469,794;939,588
29697;2874;SO50727;339;17;2;469,794;939,588
29979;23;SO50748;339;17;2;469,794;939,588
8720;913;SO46614;329;17;2;469,794;939,588
8750;3513;SO46615;329;17;2;469,794;939,588
8876;2768;SO46621;329;17;2;469,794;939,588
9512;1746;SO46650;329;17;2;469,794;939,588
10174;130;SO46675;329;17;2;469,794;939,588
13107;1738;SO47066;329;17;2;469,794;939,588
13316;72;SO47355;329;17;2;469,794;939,588
13683;218;SO47372;329;17;2;469,794;939,588
13742;3236;SO47377;329;17;2;469,794;939,588
14347;2702;SO47409;329;17;2;469,794;939,588
14548;2747;SO47419;329;17;2;469,794;939,588
15219;2266;SO47455;329;17;2;469,794;939,588
15370;2591;SO47659;329;17;2;469,794;939,588
15699;3000;SO47675;329;17;2;469,794;939,588
15996;298;SO47692;329;17;2;469,794;939,588
16126;1722;SO47699;329;17;2;469,794;939,588
16390;2509;SO47716;329;17;2;469,794;939,588
16474;1901;SO47719;329;17;2;469,794;939,588
16788;2187;SO47965;329;17;2;469,794;939,588
17146;797;SO47988;329;17;2;469,794;939,588
17341;582;SO47994;329;17;2;469,794;939,588
18503;1529;SO48057;329;17;2;469,794;939,588
18905;1824;SO48079;329;17;2;469,794;939,588
18941;410;SO48080;329;17;2;469,794;939,588
19072;2188;SO48090;329;17;2;469,794;939,588
19438;1696;SO48310;329;17;2;469,794;939,588
19515;226;SO48314;329;17;2;469,794;939,588
19532;3194;SO48317;329;17;2;469,794;939,588
19646;2452;SO48325;329;17;2;469,794;939,588
19775;2998;SO48336;329;17;2;469,794;939,588
20354;496;SO48374;329;17;2;469,794;939,588
20876;2636;SO48735;329;17;2;469,794;939,588
21096;3013;SO48751;329;17;2;469,794;939,588
21442;99;SO48769;329;17;2;469,794;939,588
21756;1909;SO48789;329;17;2;469,794;939,588
21761;3472;SO48790;329;17;2;469,794;939,588
22077;838;SO49066;329;17;2;469,794;939,588
22098;3145;SO49068;329;17;2;469,794;939,588
22411;817;SO49094;329;17;2;469,794;939,588
22801;2434;SO49122;329;17;2;469,794;939,588
23059;159;SO49139;329;17;2;469,794;939,588
23100;746;SO49141;329;17;2;469,794;939,588
23119;2485;SO49147;329;17;2;469,794;939,588
23663;2069;SO49473;329;17;2;469,794;939,588
23690;2801;SO49477;329;17;2;469,794;939,588
24058;1950;SO49497;329;17;2;469,794;939,588
24177;2506;SO49502;329;17;2;469,794;939,588
24247;2117;SO49509;329;17;2;469,794;939,588
24279;3435;SO49510;329;17;2;469,794;939,588
24480;711;SO49526;329;17;2;469,794;939,588
24578;430;SO49538;329;17;2;469,794;939,588
24835;762;SO49827;329;17;2;469,794;939,588
25104;2679;SO49837;329;17;2;469,794;939,588
25145;1067;SO49839;329;17;2;469,794;939,588
25393;1884;SO49852;329;17;2;469,794;939,588
25489;2721;SO49859;329;17;2;469,794;939,588
25583;2146;SO49865;329;17;2;469,794;939,588
25686;2466;SO49870;329;17;2;469,794;939,588
25784;2234;SO49878;329;17;2;469,794;939,588
25898;295;SO49887;329;17;2;469,794;939,588
25956;1830;SO49889;329;17;2;469,794;939,588
26177;2289;SO50191;329;17;2;469,794;939,588
26252;1226;SO50200;329;17;2;469,794;939,588
26585;589;SO50214;329;17;2;469,794;939,588
26921;2135;SO50230;329;17;2;469,794;939,588
26972;871;SO50232;329;17;2;469,794;939,588
27399;2372;SO50260;329;17;2;469,794;939,588
27585;2247;SO50276;329;17;2;469,794;939,588
27597;3056;SO50277;329;17;2;469,794;939,588
27750;65;SO50289;329;17;2;469,794;939,588
28356;3462;SO50317;329;17;2;469,794;939,588
28868;3287;SO50681;329;17;2;469,794;939,588
29084;853;SO50689;329;17;2;469,794;939,588
29391;2755;SO50705;329;17;2;469,794;939,588
29793;17;SO50738;329;17;2;469,794;939,588
29920;243;SO50746;329;17;2;469,794;939,588
8840;2964;SO46620;333;17;2;469,794;939,588
9207;289;SO46638;333;17;2;469,794;939,588
9829;2526;SO46664;333;17;2;469,794;939,588
9867;2985;SO46666;333;17;2;469,794;939,588
9901;1562;SO46667;333;17;2;469,794;939,588
10264;2232;SO46933;333;17;2;469,794;939,588
10369;833;SO46940;333;17;2;469,794;939,588
10717;967;SO46959;333;17;2;469,794;939,588
10775;95;SO46960;333;17;2;469,794;939,588
10852;20;SO46965;333;17;2;469,794;939,588
12882;2957;SO47055;333;17;2;469,794;939,588
13512;997;SO47366;333;17;2;469,794;939,588
14798;478;SO47436;333;17;2;469,794;939,588
15369;2591;SO47659;333;17;2;469,794;939,588
15590;985;SO47670;333;17;2;469,794;939,588
15962;8;SO47687;333;17;2;469,794;939,588
16129;1722;SO47699;333;17;2;469,794;939,588
16214;3269;SO47705;333;17;2;469,794;939,588
16652;2122;SO47725;333;17;2;469,794;939,588
17143;797;SO47988;333;17;2;469,794;939,588
17337;582;SO47994;333;17;2;469,794;939,588
17726;369;SO48016;333;17;2;469,794;939,588
18217;542;SO48043;333;17;2;469,794;939,588
18467;553;SO48056;333;17;2;469,794;939,588
18589;2430;SO48061;333;17;2;469,794;939,588
19437;1696;SO48310;333;17;2;469,794;939,588
19479;27;SO48311;333;17;2;469,794;939,588
20020;2676;SO48349;333;17;2;469,794;939,588
20315;3019;SO48371;333;17;2;469,794;939,588
20352;496;SO48374;333;17;2;469,794;939,588
20423;497;SO48378;333;17;2;469,794;939,588
20902;526;SO48738;333;17;2;469,794;939,588
21335;764;SO48764;333;17;2;469,794;939,588
21366;1995;SO48766;333;17;2;469,794;939,588
21492;3422;SO48771;333;17;2;469,794;939,588
21516;3505;SO48772;333;17;2;469,794;939,588
21559;161;SO48775;333;17;2;469,794;939,588
21583;2352;SO48777;333;17;2;469,794;939,588
21682;2464;SO48786;333;17;2;469,794;939,588
21755;1909;SO48789;333;17;2;469,794;939,588
21834;1396;SO49045;333;17;2;469,794;939,588
21845;1371;SO49048;333;17;2;469,794;939,588
21860;1148;SO49052;333;17;2;469,794;939,588
22050;3491;SO49065;333;17;2;469,794;939,588
22074;838;SO49066;333;17;2;469,794;939,588
22547;1242;SO49103;333;17;2;469,794;939,588
22570;397;SO49104;333;17;2;469,794;939,588
22788;2781;SO49119;333;17;2;469,794;939,588
22824;2986;SO49123;333;17;2;469,794;939,588
22888;263;SO49127;333;17;2;469,794;939,588
23359;1678;SO49161;333;17;2;469,794;939,588
23473;3152;SO49446;333;17;2;469,794;939,588
23701;2827;SO49479;333;17;2;469,794;939,588
24211;3313;SO49504;333;17;2;469,794;939,588
24299;1365;SO49511;333;17;2;469,794;939,588
24453;431;SO49523;333;17;2;469,794;939,588
24575;430;SO49538;333;17;2;469,794;939,588
25488;2721;SO49859;333;17;2;469,794;939,588
25522;3503;SO49862;333;17;2;469,794;939,588
25889;2625;SO49885;333;17;2;469,794;939,588
26028;3391;SO49891;333;17;2;469,794;939,588
26076;2511;SO49893;333;17;2;469,794;939,588
26537;2497;SO50211;333;17;2;469,794;939,588
26696;2691;SO50221;333;17;2;469,794;939,588
26861;102;SO50226;333;17;2;469,794;939,588
27169;3412;SO50244;333;17;2;469,794;939,588
27221;877;SO50245;333;17;2;469,794;939,588
27584;2247;SO50276;333;17;2;469,794;939,588
27721;894;SO50284;333;17;2;469,794;939,588
28740;3291;SO50673;333;17;2;469,794;939,588
29404;3030;SO50706;333;17;2;469,794;939,588
29586;3405;SO50722;333;17;2;469,794;939,588
29765;3106;SO50733;333;17;2;469,794;939,588
29791;17;SO50738;333;17;2;469,794;939,588
8749;3513;SO46615;325;17;2;469,794;939,588
9208;289;SO46638;325;17;2;469,794;939,588
9294;198;SO46642;325;17;2;469,794;939,588
9902;1562;SO46667;325;17;2;469,794;939,588
10265;2232;SO46933;325;17;2;469,794;939,588
10424;2126;SO46943;325;17;2;469,794;939,588
10853;20;SO46965;325;17;2;469,794;939,588
11166;3120;SO46977;325;17;2;469,794;939,588
11962;3037;SO47011;325;17;2;469,794;939,588
13105;1738;SO47066;325;17;2;469,794;939,588
13599;1604;SO47368;325;17;2;469,794;939,588
13867;2519;SO47384;325;17;2;469,794;939,588
14119;786;SO47397;325;17;2;469,794;939,588
14590;194;SO47422;325;17;2;469,794;939,588
14622;411;SO47423;325;17;2;469,794;939,588
15014;3415;SO47447;325;17;2;469,794;939,588
15334;596;SO47658;325;17;2;469,794;939,588
15573;3476;SO47669;325;17;2;469,794;939,588
15658;2451;SO47674;325;17;2;469,794;939,588
15853;2704;SO47683;325;17;2;469,794;939,588
16130;1722;SO47699;325;17;2;469,794;939,588
16193;2030;SO47703;325;17;2;469,794;939,588
16362;439;SO47715;325;17;2;469,794;939,588
16432;2969;SO47718;325;17;2;469,794;939,588
16473;1901;SO47719;325;17;2;469,794;939,588
16500;229;SO47720;325;17;2;469,794;939,588
16787;2187;SO47965;325;17;2;469,794;939,588
16964;2867;SO47975;325;17;2;469,794;939,588
18136;991;SO48036;325;17;2;469,794;939,588
18867;2883;SO48077;325;17;2;469,794;939,588
19015;1786;SO48087;325;17;2;469,794;939,588
19200;469;SO48295;325;17;2;469,794;939,588
19641;2452;SO48325;325;17;2;469,794;939,588
19726;3228;SO48332;325;17;2;469,794;939,588
20021;2676;SO48349;325;17;2;469,794;939,588
20223;116;SO48363;325;17;2;469,794;939,588
20260;156;SO48364;325;17;2;469,794;939,588
20533;1897;SO48385;325;17;2;469,794;939,588
20560;3457;SO48386;325;17;2;469,794;939,588
20837;2805;SO48731;325;17;2;469,794;939,588
20925;606;SO48740;325;17;2;469,794;939,588
21035;1869;SO48749;325;17;2;469,794;939,588
21493;3422;SO48771;325;17;2;469,794;939,588
21517;3505;SO48772;325;17;2;469,794;939,588
22300;2327;SO49090;325;17;2;469,794;939,588
22610;487;SO49109;325;17;2;469,794;939,588
23749;840;SO49480;325;17;2;469,794;939,588
23892;568;SO49486;325;17;2;469,794;939,588
24043;843;SO49496;325;17;2;469,794;939,588
24057;1950;SO49497;325;17;2;469,794;939,588
24175;2506;SO49502;325;17;2;469,794;939,588
24212;3313;SO49504;325;17;2;469,794;939,588
24374;2974;SO49518;325;17;2;469,794;939,588
24479;711;SO49526;325;17;2;469,794;939,588
24507;3053;SO49531;325;17;2;469,794;939,588
24565;604;SO49534;325;17;2;469,794;939,588
24576;430;SO49538;325;17;2;469,794;939,588
24674;1946;SO49548;325;17;2;469,794;939,588
25896;295;SO49887;325;17;2;469,794;939,588
25972;400;SO49890;325;17;2;469,794;939,588
26926;2135;SO50230;325;17;2;469,794;939,588
27222;877;SO50245;325;17;2;469,794;939,588
27564;145;SO50272;325;17;2;469,794;939,588
27596;3056;SO50277;325;17;2;469,794;939,588
27919;603;SO50296;325;17;2;469,794;939,588
28052;2453;SO50304;325;17;2;469,794;939,588
28196;2916;SO50311;325;17;2;469,794;939,588
29226;2584;SO50696;325;17;2;469,794;939,588
29568;3405;SO50722;325;17;2;469,794;939,588
29776;531;SO50736;325;17;2;469,794;939,588
29834;485;SO50739;325;17;2;469,794;939,588
30072;1885;SO50754;325;17;2;469,794;939,588
39919;3371;SO55236;568;17;2;445,41;890,82
40390;510;SO55256;586;17;2;445,41;890,82
40391;510;SO55256;585;17;2;445,41;890,82
40392;510;SO55256;568;17;2;445,41;890,82
40393;510;SO55256;570;17;2;445,41;890,82
40458;2936;SO55259;565;17;2;445,41;890,82
40459;2936;SO55259;570;17;2;445,41;890,82
40460;2936;SO55259;585;17;2;445,41;890,82
40513;810;SO55263;568;17;2;445,41;890,82
40751;458;SO55276;565;17;2;445,41;890,82
40752;458;SO55276;569;17;2;445,41;890,82
40839;50;SO55282;570;17;2;445,41;890,82
40979;1477;SO55291;569;17;2;445,41;890,82
41003;3576;SO55293;586;17;2;445,41;890,82
41129;523;SO55298;586;17;2;445,41;890,82
41140;1687;SO55299;565;17;2;445,41;890,82
41141;1687;SO55299;568;17;2;445,41;890,82
41142;1687;SO55299;566;17;2;445,41;890,82
41187;3732;SO55300;565;17;2;445,41;890,82
41315;3728;SO55307;568;17;2;445,41;890,82
41323;3728;SO55307;586;17;2;445,41;890,82
41552;1802;SO55325;569;17;2;445,41;890,82
41785;830;SO57019;568;17;2;445,41;890,82
41786;830;SO57019;565;17;2;445,41;890,82
41864;818;SO57024;586;17;2;445,41;890,82
41905;1608;SO57026;586;17;2;445,41;890,82
42168;2669;SO57041;570;17;2;445,41;890,82
42169;2669;SO57041;568;17;2;445,41;890,82
42170;2669;SO57041;572;17;2;445,41;890,82
42212;3256;SO57043;586;17;2;445,41;890,82
42213;3256;SO57043;572;17;2;445,41;890,82
42233;1762;SO57045;566;17;2;445,41;890,82
42234;1762;SO57045;568;17;2;445,41;890,82
42235;1762;SO57045;586;17;2;445,41;890,82
42448;3246;SO57058;570;17;2;445,41;890,82
42774;2309;SO57074;569;17;2;445,41;890,82
43216;1458;SO57099;565;17;2;445,41;890,82
43263;1020;SO57103;586;17;2;445,41;890,82
43412;3211;SO57119;572;17;2;445,41;890,82
43585;3739;SO57127;565;17;2;445,41;890,82
43645;1717;SO57130;566;17;2;445,41;890,82
43657;362;SO57131;586;17;2;445,41;890,82
43696;3577;SO57132;565;17;2;445,41;890,82
43932;3209;SO57143;569;17;2;445,41;890,82
44383;3380;SO57180;566;17;2;445,41;890,82
44384;3380;SO57180;570;17;2;445,41;890,82
44385;3380;SO57180;568;17;2;445,41;890,82
44424;3432;SO57185;572;17;2;445,41;890,82
44641;87;SO58907;567;17;2;445,41;890,82
44868;3677;SO58915;585;17;2;445,41;890,82
44986;418;SO58919;569;17;2;445,41;890,82
44987;418;SO58919;572;17;2;445,41;890,82
45129;2097;SO58924;571;17;2;445,41;890,82
45153;1084;SO58925;572;17;2;445,41;890,82
45154;1084;SO58925;586;17;2;445,41;890,82
45370;1082;SO58932;569;17;2;445,41;890,82
45382;1082;SO58932;586;17;2;445,41;890,82
45565;1572;SO58946;570;17;2;445,41;890,82
45566;1572;SO58946;569;17;2;445,41;890,82
45567;1572;SO58946;586;17;2;445,41;890,82
45598;3730;SO58948;586;17;2;445,41;890,82
45599;3730;SO58948;566;17;2;445,41;890,82
45600;3730;SO58948;571;17;2;445,41;890,82
45727;1302;SO58956;566;17;2;445,41;890,82
45779;848;SO58958;572;17;2;445,41;890,82
45862;1712;SO58961;568;17;2;445,41;890,82
45863;1712;SO58961;566;17;2;445,41;890,82
45864;1712;SO58961;570;17;2;445,41;890,82
45865;1712;SO58961;586;17;2;445,41;890,82
45910;1637;SO58962;570;17;2;445,41;890,82
45926;1637;SO58962;569;17;2;445,41;890,82
46057;2049;SO58971;565;17;2;445,41;890,82
46058;2049;SO58971;572;17;2;445,41;890,82
46251;178;SO58979;566;17;2;445,41;890,82
46270;935;SO58980;570;17;2;445,41;890,82
46271;935;SO58980;586;17;2;445,41;890,82
46404;1465;SO58991;565;17;2;445,41;890,82
46405;1465;SO58991;569;17;2;445,41;890,82
46439;2209;SO58993;567;17;2;445,41;890,82
46440;2209;SO58993;569;17;2;445,41;890,82
46543;3444;SO59008;586;17;2;445,41;890,82
46544;3444;SO59008;566;17;2;445,41;890,82
46545;3444;SO59008;585;17;2;445,41;890,82
46648;2825;SO59012;565;17;2;445,41;890,82
46649;2825;SO59012;570;17;2;445,41;890,82
46650;2825;SO59012;567;17;2;445,41;890,82
46736;2653;SO59016;586;17;2;445,41;890,82
46741;2653;SO59016;568;17;2;445,41;890,82
46798;3601;SO59020;568;17;2;445,41;890,82
46957;3547;SO59028;565;17;2;445,41;890,82
47026;1853;SO59031;586;17;2;445,41;890,82
47078;2713;SO59040;565;17;2;445,41;890,82
47079;2713;SO59040;572;17;2;445,41;890,82
47090;555;SO59041;586;17;2;445,41;890,82
47215;1832;SO59059;569;17;2;445,41;890,82
47216;1832;SO59059;570;17;2;445,41;890,82
47335;1515;SO59066;572;17;2;445,41;890,82
47336;1515;SO59066;567;17;2;445,41;890,82
47337;1515;SO59066;586;17;2;445,41;890,82
47442;2233;SO59070;586;17;2;445,41;890,82
47523;2846;SO59075;567;17;2;445,41;890,82
47546;2846;SO59075;570;17;2;445,41;890,82
47630;3439;SO61175;566;17;2;445,41;890,82
